Campo,Petróleo (bbl/d) Pré Sal,Petróleo (bbl/d) Pós Sal,Gás natural (Mm³/d) Pré Sal,Gás natural (Mm³/d) Pós Sal,Produção (boe/d) Pré Sal,Produção (boe/d) Pós Sal,mes
Pampo,119.711437806,10485.7774068447,3.81049333333333,125.668852,143.678716878933,11276.2106088428,2018-06-01
Outros Campos,0,851598.404711927,0,53827.9219863334,0,1190165.80670079,2018-06-01
Total Geral,1404912.812754146,1184932.2600047574,56955.67402633334,57970.49411900007,1763153.1808017131,1549555.653619389,2018-06-01
Lula,878717.619965093,0,36798.5275758065,0,1110173.36669668,0,2018-07-01
Sapinhoá,246070.05232649,0,9801.86409612903,0,307721.915136963,0,2018-07-01
Jubarte³,116890.458223897,67249.0210823867,3830.36468967742,547.742954516129,140982.724352677,70694.2201951318,2018-07-01
Mero,38846.038833838,0,2575.92493612903,0,55048.1172563517,0,2018-07-01
Lapa,38691.137234,0,1289.91917870968,0,46804.4837834399,0,2018-07-01
Baleia Franca³,33682.8188045187,4360.24095763,1227.08059032258,47.265735483871,41400.9225723356,4657.53345333381,2018-07-01
Baleia Azul³,30913.5917790958,0,1029.67361774194,0,37390.0431967052,0,2018-07-01
Búzios,29859.1118282,0,861.870290322581,0,35280.1121989739,0,2018-07-01
Marlim Leste,19861.746135489,52523.6090677206,424.614299677419,784.565618709677,22532.4894037431,57458.377741937,2018-07-01
Sururu,9332.5116744129,0,282.929931612903,0,11112.0871875711,0,2018-07-01
Barracuda,3811.60227349519,57511.3111516043,64.553689032258,818.29456483871,4217.63271230717,62658.2284884725,2018-07-01
Caratinga,3518.40209861094,12639.5020062509,59.5880203225806,231.598679354839,3893.19942471611,14096.2136956437,2018-07-01
Voador,1650.718981755,0,55.5580616129032,0,2000.16863326846,0,2018-07-01
Marlim,1303.85230970306,119131.232123725,43.8836074193548,1639.7785183871,1579.87186248539,129445.127446461,2018-07-01
Pirambu³,767.171574950647,0,28.5756641935484,0,946.907073351869,0,2018-07-01
Outros Campos,0,807797.39442052,0,53525.5146816129,0,1144462.71192008,2018-07-01
Total Geral,1453916.8340435496,1121212.3108098377,58374.92824870972,57594.760752903225,1821084.0414915695,1483472.4129410598,2018-07-01
Lula,802340.09394929,0,33036.7891103226,0,1010135.22046329,0,2018-08-01
Sapinhoá,255362.773851255,0,10225.540766129,0,319679.482417461,0,2018-08-01
Jubarte³,113661.768490961,66454.501007762,3994.1409283871,556.095281935484,138784.156043739,69952.2346730326,2018-08-01
Mero,38577.1778822212,0,2583.98003225806,0,54829.9213289183,0,2018-08-01
Lapa,38802.8138250355,0,1310.21078387097,0,47043.7907155349,0,2018-08-01
Baleia Franca³,34549.2878128364,5795.00687906774,1340.95116129032,74.9964332258064,42983.6158366319,6266.72019473575,2018-08-01
Baleia Azul³,31498.7652669313,0,1044.96543483871,0,38071.3993086342,0,2018-08-01
Búzios,24302.8012096613,0,777.975516129032,0,29196.1193907648,0,2018-08-01
Marlim Leste,25140.2723678052,49974.9699398368,466.920451290323,780.389940645161,28077.1132915355,54883.4743924061,2018-08-01
Barracuda,4015.93658779644,60830.6741747802,65.1717112903226,830.980050967742,4425.85426918742,66057.3808091576,2018-08-01
Caratinga,3707.01838873517,12642.1875542527,60.1585019354839,200.542687096774,4085.403935794,13903.5629529809,2018-08-01
Sururu,1595.78363715807,0,46.01687,0,1885.22100625277,0,2018-08-01
Pirambu³,456.783857144516,0,12.7876403225806,0,537.215685121887,0,2018-08-01
Pampo,57.3462267409677,9164.19977560001,0.506157741935484,25.3015977419355,60.529862767771,9323.34201809321,2018-08-01
Voador,24.8358504333355,0,0.79603,0,29.8427278876355,0,2018-08-01
Marlim,19.6170773960193,123146.103751327,0.628759677419355,1737.2625,23.5718563026484,134073.154796452,2018-08-01
Outros Campos,0,819625.203675494,0,47194.2762209678,0,1116468.2341929,2018-08-01
Total Geral,1374113.0762814018,1147632.8467581205,54967.539855483854,51399.8447125807,1719848.458139824,1470928.1040297581,2018-08-01
Lula,851005.820865299,0,35538.4283923333,0,1074535.78315168,0,2018-09-01
Sapinhoá,260689.45283996,0,10317.432561,0,325584.143336463,0,2018-09-01
Jubarte,105737.586653029,39347.0214286527,3511.02980733333,369.210381,127821.297045492,41669.2845751703,2018-09-01
Mero,42678.7780323694,0,2866.54200433333,0,60708.7825966453,0,2018-09-01
Búzios,34659.6499688467,0,1911.06163233333,0,46679.8645345132,0,2018-09-01
Lapa,37778.6577244733,0,1320.12749366667,0,46082.0088354129,0,2018-09-01
Baleia Azul,28726.5292234573,0,938.947062,0,34632.3278434956,0,2018-09-01
Baleia Franca,27393.6304271173,3302.032630553,1049.58451766667,40.868412,33995.3176221823,3559.08717703472,2018-09-01
Marlim Leste,21615.052200371,45204.4696795923,404.754454333333,677.13687,24160.8808147813,49463.531935887,2018-09-01
Barracuda,4080.18241228364,61305.0413150832,58.067577,781.433641,4445.41643877401,66220.1104445814,2018-09-01
Caratinga,3766.32222672336,10889.9427721232,53.6008406666667,161.632616666667,4103.46133035697,11906.5812207593,2018-09-01
Pirambu,381.376129879667,0,10.8881056666667,0,449.860245782923,0,2018-09-01
Voador,126.00697782291,0,5.02931266666667,0,157.640398926837,0,2018-09-01
Marlim,99.5290456107566,113502.431527448,3.9725,1535.76134066667,124.515315835757,123162.078565586,2018-09-01
Outros Campos,0,793434.308806299,0,51346.601157,0,1116394.67422961,2018-09-01
Total Geral,1418738.5747272433,1066985.2481597513,57989.466260999965,54912.64441833334,1783481.299510342,1412375.3481486286,2018-09-01
Lula,898690.830461255,0,37872.0980322581,0,1136899.13138553,0,2018-10-01
Sapinhoá,264662.811845329,0,10587.1318325806,0,331253.859517213,0,2018-10-01
Jubarte³,119575.964834763,63272.828416164,4060.14601483871,518.563924516129,145113.511840356,66534.4969742248,2018-10-01
Búzios,52121.2978057355,0,1839.19931548387,0,63689.5120522591,0,2018-10-01
Lapa,36168.2214000452,0,1342.74750129032,0,44613.848061136,0,2018-10-01
Baleia Franca³,32549.0119728,3894.98492931258,1232.79155612903,53.1633029032258,40303.036630456,4229.37200354632,2018-10-01
Baleia Azul³,28332.4903331106,0,938.601866451613,0,34236.1177387367,0,2018-10-01
Marlim Leste,24100.4632972858,47156.1733275981,434.038565806452,776.938963225806,26830.4834088809,52042.9717878854,2018-10-01
Barracuda,4032.05776850475,55605.812394429,74.8727796774193,753.881756774194,4502.99332684758,60347.5854070049,2018-10-01
Caratinga,3721.89947861977,9852.59007016584,69.113334516129,191.080304516129,4156.60922119266,11054.4488803144,2018-10-01
Mero,2177.88931277444,0,150.27732,0,3123.10510288364,0,2018-10-01
Voador,2100.50734468105,0,71.6720838709677,0,2551.31113453351,0,2018-10-01
Marlim,1659.12635165314,105080.653892944,56.6115806451613,1461.40196,2015.20243771088,114272.594554971,2018-10-01
Pirambu³,801.096984016773,0,22.5744358064516,0,943.085896096551,0,2018-10-01
Pampo,12.1064639703226,9580.61538868801,0.35726064516129,148.618766774194,14.3535655488645,10515.399194132,2018-10-01
Outros Campos,0,848982.422283713,0,54381.2542958064,0,1191030.17936602,2018-10-01
Total Geral,1470705.7756545441,1143426.0807030145,58752.23348,58284.90327451608,1840246.161319382,1510027.0481680988,2018-10-01
Lula,902917.950024999,0,38206.0307473333,0,1143226.62427988,0,2018-11-01
Sapinhoá,218494.640610917,0,9017.902383,0,275215.533198534,0,2018-11-01
Jubarte,117821.254505548,61672.6357709873,3997.54285233333,517.201524666667,142965.039513583,64925.735092851,2018-11-01
Búzios,83784.4435372369,0,2893.109054,0,101981.549796177,0,2018-11-01
Lapa,30382.2185530733,0,1284.27566466667,0,38460.0684714504,0,2018-11-01
Baleia Azul,27985.9565110407,0,905.084012,0,33678.7629805584,0,2018-11-01
Baleia Franca,26367.6953248107,4186.693149091,1087.90481166667,57.6228426666667,33210.4098882798,4549.12988112423,2018-11-01
Marlim Leste,21795.2013741653,52973.4473785013,340.508295,909.881815,23936.9338531393,58696.4311173065,2018-11-01
Sudoeste De Sapinhoá,4930.30874159626,0,203.487882666667,0,6210.20886087189,0,2018-11-01
Barracuda,3312.95113689124,52041.0230093575,61.3633933333333,733.660970666667,3698.91522191317,56655.6111192664,2018-11-01
Noroeste De Sapinhoa,2867.88270318589,0,118.36563,0,3612.38002641619,0,2018-11-01
Caratinga,3058.10874174576,9307.66175840886,56.6431323333333,211.715780666667,3414.38328192728,10639.3137928039,2018-11-01
Voador,2644.1600781005,0,86.4904913333333,0,3188.16883539381,0,2018-11-01
Marlim,2088.54099407384,75878.9323707678,68.316187,986.153726,2518.23683022831,82081.6519380998,2018-11-01
Nordeste De Sapinhoá,596.718264536143,0,24.6281356666667,0,751.6245585337,0,2018-11-01
Pirambu,560.100242388333,0,18.39921,0,675.827777438433,0,2018-11-01
Outros Campos,0,861724.064645153,0,50565.569152,0,1179771.88715309,2018-11-01
Total Geral,1449608.1313443086,1117784.4580822669,58370.0518823333,53981.805811666665,1816744.667374325,1457319.7600945418,2018-11-01
Lula,897089.170924174,0,38548.8849045161,0,1139554.33268545,0,2018-12-01
Sapinhoá,249596.062739566,0,10315.3745725806,0,314477.808879929,0,2018-12-01
Jubarte,116768.129738178,62984.499062028,3950.81442032258,519.782346774194,141618.001787267,66253.8312645918,2018-12-01
Búzios,97931.7654722453,0,3561.58382677419,0,120333.451041728,0,2018-12-01
Baleia Franca,34405.2607,4629.66131683226,1373.36540096774,68.5475132258064,43043.4681326609,5060.81215099507,2018-12-01
Lapa,26003.4096028968,0,1203.4560583871,0,33572.9195535005,0,2018-12-01
Baleia Azul,26667.3400336103,0,898.105296451613,0,32316.2517082846,0,2018-12-01
Marlim Leste,21162.2609320071,53326.2261567865,369.984956774194,835.729789032258,23489.396012975,58582.8077411394,2018-12-01
Mero,9896.100867645,0,663.028438709677,0,14066.4237717255,0,2018-12-01
Sudoeste De Sapinhoá,5632.10918783372,0,232.76519,0,7096.15800754762,0,2018-12-01
Noroeste De Sapinhoa,3276.1089128428,0,135.395761612903,0,4127.72252819325,0,2018-12-01
Barracuda,3227.43910769515,52702.5263977819,56.2461529032258,665.601142580645,3581.21672268739,56889.0311203971,2018-12-01
Caratinga,2979.17456094937,10808.0757058123,51.9195251612903,218.067405806452,3305.7385095041,12179.6782555277,2018-12-01
Voador,2576.1244775919,0,90.8381187096774,0,3147.47898503322,0,2018-12-01
Marlim,2034.80172711843,103734.937529034,71.7502438709677,1185.09744580645,2486.09712852048,111188.975294642,2018-12-01
Pirambu,731.101746468707,0,24.4608277419355,0,884.95570540821,0,2018-12-01
Nordeste De Sapinhoá,681.657663681087,0,28.1715703225806,0,858.851488411757,0,2018-12-01
Outros Campos,0,902170.157072631,0,48614.8687941936,0,1207948.44496304,2018-12-01
Total Geral,1500658.0183945042,1190356.0832409058,61576.145265806364,52107.694437419406,1887960.2726488267,1518103.580790333,2018-12-01
Lula,889060.595702919,0,38255.1588312903,0,1129678.27627156,0,2019-01-01
Sapinhoá,226336.278091063,0,9232.83885645161,0,284409.080258761,0,2019-01-01
Jubarte,111180.992355035,61406.4829207374,3882.40194290323,503.905504516129,135600.562919527,64575.952802098,2019-01-01
Búzios,71243.5517911127,0,2608.36021387097,0,87649.6419479204,0,2019-01-01
Mero,34231.6029476112,0,2273.85252096774,0,48533.7032725193,0,2019-01-01
Baleia Franca,33968.4299462494,5595.02216722065,1373.68663387097,76.6793370967742,42608.6578728373,6077.32062848531,2019-01-01
Lapa,26189.3810238581,0,1098.19524612903,0,33096.8204649129,0,2019-01-01
Baleia Azul,25070.3331298558,0,857.950739354839,0,30466.6802697573,0,2019-01-01
Marlim Leste,18759.9400309764,38705.3406394655,308.565440967742,608.436643870968,20700.7580272298,42532.2915264515,2019-01-01
Sudoeste De Sapinhoá,5107.25452137977,0,208.33789,0,6417.66026528067,0,2019-01-01
Noroeste De Sapinhoa,2970.80920698203,0,121.186797419355,0,3733.05113725827,0,2019-01-01
Voador,2530.88394584125,0,75.2952161290322,0,3615.69767414934,0,2019-01-01
Barracuda,3226.6262856937,50588.513631909,61.8574151612903,697.768149032258,3337.56707649465,54977.3427133736,2019-01-01
Marlim,1999.06765072326,103734.912935877,59.4733819354839,1579.12160290323,3004.4765492018,113667.287785033,2019-01-01
Caratinga,2978.42426371727,10602.6569187026,57.0991512903226,204.124426129032,2373.14392315489,11886.5607754132,2019-01-01
Nordeste De Sapinhoá,618.134078598061,0,25.215124516129,0,776.732420930855,0,2019-01-01
Pirambu,554.678054190323,0,17.0138406451613,0,661.691879218664,0,2019-01-01
Outros Campos,0,904266.038485246,0,49010.131813871,0,1212530.45566945,2019-01-01
Total Geral,1456026.9830258063,1174898.9676991582,60516.4892429032,52680.16747741939,1836664.2022307143,1506247.2119003048,2019-01-01
Lula,885273.051010942,0,37497.2819996429,0,1121123.83030512,0,2019-02-01
Sapinhoá,251444.272892124,0,10141.7396482143,0,315233.888348859,0,2019-02-01
Jubarte³,84223.9103904548,59611.1477280486,2943.70526142857,507.554218571429,102739.257180841,62803.5673275613,2019-02-01
Búzios,78574.0317250287,0,2724.6380225,0,95711.4872053294,0,2019-02-01
Mero,41826.1872810694,0,2769.99464928571,0,59248.9273260932,0,2019-02-01
Lapa,23836.5064351643,0,933.608944642857,0,29708.7293112684,0,2019-02-01
Baleia Azul³,24301.8968900546,0,826.346696785714,0,29499.4606069644,0,2019-02-01
Baleia Franca³,22558.0120243275,2560.80718561571,859.426233571429,34.3574664285714,27963.6397425074,2776.90912153281,2019-02-01
Sul De Lula,11061.2874962368,0,342.596581428571,0,13216.154900072,0,2019-02-01
Marlim Leste,11816.3857011829,25272.3864935457,189.124996071429,392.249378928571,13005.9459927229,27739.5605596244,2019-02-01
Sudoeste De Sapinhoá,5673.8137578939,0,228.847134285714,0,7113.21875159553,0,2019-02-01
Noroeste De Sapinhoa,3300.36780994679,0,133.1166875,0,4137.64648215116,0,2019-02-01
Voador,2025.53319244933,0,63.0566671428571,0,2422.14764801114,0,2019-02-01
Marlim,1599.90655246853,79705.5104464016,49.8065257142857,1163.05978214286,1913.18013597151,87020.9354947216,2019-02-01
Barracuda,831.006327658927,20495.4007388823,23.2973778571428,472.721943214286,977.542407878562,23468.7319445309,2019-02-01
Caratinga,767.08276399286,7784.11179270522,21.5052717857143,204.228472142857,902.346837523363,9068.67007907408,2019-02-01
Nordeste De Sapinhoá,686.705203380235,0,27.6973607142857,0,860.916339774556,0,2019-02-01
Pirambu³,195.678684732857,0,5.29204178571429,0,228.964622077061,0,2019-02-01
Outros Campos,0,843999.00470891,0,47597.3573685714,0,1143377.33905932,2019-02-01
Total Geral,1449995.6361391083,1039428.3690941092,59781.08210035722,50371.52862999997,1826007.2841447603,1356255.713586365,2019-02-01
Lula,909235.095336363,0,38003.634493871,0,1148270.73561226,0,2019-03-01
Sapinhoá,251031.396923019,0,10309.2665883871,0,315874.725003322,0,2019-03-01
Búzios,112864.648898732,0,4207.51721419355,0,139329.132747739,0,2019-03-01
Jubarte³,110074.099214512,45316.1902519552,3690.66463677419,373.42914516129,133287.678553541,47664.9886234821,2019-03-01
Mero,31320.9446423444,0,2104.86939419355,0,44560.1732066369,0,2019-03-01
Baleia Franca³,29692.8392805703,1480.42689858129,1211.10238645161,15.8154174193548,37310.4431818975,1579.90286921973,2019-03-01
Baleia Azul³,23381.6849117839,0,809.664702258065,0,28474.3220526937,0,2019-03-01
