Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
Peregrino A,50358.38707518731,13,Peregrino,2022-10-01,NA,50766.437642711564
Petrobras 52,43514.49615526868,15,Roncador,2022-10-01,NA,48126.07138924114
Petrobras 53,42100.402579027286,7,Marlim Leste,2022-10-01,NA,47042.04219907921
FPSO Espirito Santo,41813.49121791831,21,Abalone / Argonauta / Ostra,2022-10-01,NA,44357.57242889877
FPSO Pioneiro de Libra,40914.72971028235,1,Anc_Mero / Mero,2022-10-01,NA,58389.618801753604
Petrobras 50,32089.897706557975,13,Albacora / Albacora Leste,2022-10-01,NA,35423.99110968392
Petrobras 62,28086.334234154383,12,Roncador,2022-10-01,NA,39704.72897036247
Polo Arara,6328.1615767687235,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2022-10-01,NA,52502.124401678695
FPSO Carioca (Mv-30),166412.54366625063,4,Sépia / Sépia Leste / Sépia_Eco,2022-09-01,NA,196740.060634907
Petrobras 70,156047.72266236783,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2022-09-01,NA,193631.56539934906
Petrobras 77,152524.18360870334,5,Búzios / Búzios_Eco / Tambuatá,2022-09-01,NA,191148.99964150364
FPSO Cidade de Maricá,145024.25274849447,6,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,178728.64675721794
Petrobras 68,143026.7411365724,8,Berbigão / Sul De Berbigão / Sururu,2022-09-01,NA,166478.11930691855
Petrobras 74 (P-74),142709.9883135184,5,Búzios / Búzios_Eco / Tambuatá,2022-09-01,NA,179943.9572180548
Petrobras 76,129009.72751688251,4,Búzios / Búzios_Eco / Tambuatá,2022-09-01,NA,162530.0481791881
FPSO Cidade de Itaguaí,125704.87858196994,7,Tupi,2022-09-01,NA,170096.76261081957
Petrobras 75 (P-75),115077.66850536865,4,Búzios / Búzios_Eco / Tambuatá,2022-09-01,NA,143927.924713422
FPSO Cidade de Saquarema,111012.2433228813,8,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,147024.0982405423
Petrobras 67 (P-67),108577.35443176265,7,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,141154.21284847538
Petrobras 69,106563.92700704228,7,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,141427.96094485853
FPSO Cidade de Mangaratiba,105231.81617503642,8,Tupi,2022-09-01,NA,142547.2783654704
Petrobras 66 (P-66),101632.09623206296,8,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,133453.72486759373
FPSO Cidade de Ilha Bela,100364.90273872745,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2022-09-01,NA,129189.4328628138
FPSO Cidade de Paraty,100003.14704845162,5,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,127039.07021311318
FPSO Cidade de São Paulo,89462.35403423248,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2022-09-01,NA,118176.74324299375
FPSO Cidade de Campos dos Goytacazes,81658.46468411696,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2022-09-01,NA,87312.8352044754
FPSO Guanabara,79629.5281645823,3,Anc_Mero / Mero,2022-09-01,NA,111334.98098611107
Petrobras 58,63845.37845362777,13,Baleia Anã / Jubarte,2022-09-01,NA,77553.85102702236
FPSO Cidade de Caraguatatuba,54855.90909853667,4,Lapa,2022-09-01,NA,69206.07486854644
Petrobras 40,52272.36303673616,15,Marlim / Marlim Sul,2022-09-01,NA,58237.949032698525
Petrobras 52,51902.987648386355,15,Roncador,2022-09-01,NA,57969.600079866934
Peregrino A,51058.896823669034,13,Peregrino,2022-09-01,NA,51501.766792664705
Petrobras 50,42419.16383932178,13,Albacora / Albacora Leste,2022-09-01,NA,46717.85981329406
Petrobras 53,41681.590869380125,7,Marlim Leste,2022-09-01,NA,46526.32162392444
FPSO Cidade de Angra dos Reis,40346.97162550403,5,Anc_Tupi / Sul De Tupi / Tupi,2022-09-01,NA,50269.50505067185
FPSO Espirito Santo,38084.54563246691,22,Abalone / Argonauta / Ostra,2022-09-01,NA,40398.637963565154
Petrobras 62,26643.621234360657,11,Roncador,2022-09-01,NA,41821.93182729803
Polo Arara,6198.274537639028,35,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2022-09-01,NA,47835.24567309043
FPSO Carioca (Mv-30),163981.18343401968,4,Sépia / Sépia Leste / Sépia_Eco,2023-04-01,NA,198290.95265792034
Petrobras 70,159781.55445202233,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-04-01,NA,197272.36950486235
Petrobras 77,148427.9599417473,5,Búzios / Búzios_Eco / Tambuatá,2023-04-01,NA,186704.85196642997
Petrobras 76,146782.33808201732,5,Búzios / Búzios_Eco / Tambuatá,2023-04-01,NA,184573.53076883964
Petrobras 75 (P-75),145781.79431369965,4,Búzios / Búzios_Eco / Tambuatá,2023-04-01,NA,187456.5800762023
FPSO Cidade de Maricá,145034.96177271064,6,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,179225.5699171803
Petrobras 74 (P-74),139706.13515205233,5,Búzios / Búzios_Eco / Tambuatá,2023-04-01,NA,177889.77592129735
FPSO Cidade de Itaguaí,130493.751517291,8,Tupi,2023-04-01,NA,175740.07065737867
Petrobras 67 (P-67),120637.48171011233,7,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,155457.93800972067
Petrobras 66 (P-66),110310.63284899265,8,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,144916.67413822832
FPSO Cidade de Saquarema,109413.99024240467,8,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,143835.01446422667
Petrobras 69,105256.43442847834,7,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,139567.52765738402
FPSO Cidade de Ilha Bela,100061.273189111,8,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-04-01,NA,130232.69232426
FPSO Cidade de Paraty,97814.442985436,5,Anc_Tupi / Sul De Tupi / Tupi,2023-04-01,NA,124788.88147733134
FPSO Guanabara,90842.56431175332,4,Anc_Mero / Mero,2023-04-01,NA,126577.10318379698
FPSO Cidade de São Paulo,81893.67926800133,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-04-01,NA,105934.70300861933
FPSO Cidade de Campos dos Goytacazes,71366.20370833066,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-04-01,NA,76407.04341104632
Petrobras 68,63523.122403246336,8,Berbigão / Sul De Berbigão / Sururu,2023-04-01,NA,73854.91505502601
FPSO Cidade de Mangaratiba,63294.191350035006,7,Tupi,2023-04-01,NA,84871.90220639801
Petrobras 58,62997.59284356099,14,Baleia Anã / Jubarte,2023-04-01,NA,74231.93402385832
Petrobras 71,51266.872018363,1,Itapu / Itapu_Eco,2023-04-01,NA,56162.74166427467
Petrobras 52,49614.63264953201,15,Roncador,2023-04-01,NA,55198.367867682675
FPSO Frade,46857.826538,11,Frade,2023-04-01,NA,50118.203643866
Petrobras 40,46057.458279196006,14,Marlim / Marlim Sul,2023-04-01,NA,51461.40221374134
FPSO Cidade de Caraguatatuba,46013.92902011,3,Lapa,2023-04-01,NA,56245.756673258
FPSO Pioneiro de Libra,45666.920621730664,1,Anc_Mero / Mero,2023-04-01,NA,64771.290330435
Peregrino A,42992.43323721501,16,Peregrino,2023-04-01,NA,43330.659802872346
Petrobras 53,39441.237960265,7,Marlim Leste,2023-04-01,NA,43319.84761948234
Petrobras 62,29150.792213161672,10,Roncador,2023-04-01,NA,40257.10263362634
Polo Arara,5955.380802300002,35,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-04-01,NA,53742.80603536401
FPSO Guanabara,179380.03262963195,4,Anc_Mero / Mero,2023-12-01,NA,NA
FPSO Carioca (Mv-30),164320.68202244584,4,Sépia / Sépia Leste / Sépia_Eco,2023-12-01,NA,NA
Petrobras 70,159437.5977680065,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-12-01,NA,NA
Petrobras 75 (P-75),149060.48844869324,4,Búzios / Búzios_Eco / Tambuatá,2023-12-01,NA,NA
Petrobras 68,147149.62692444,10,Berbigão / Sul De Berbigão / Sururu,2023-12-01,NA,NA
FPSO Almirante Barroso,146962.9463781255,3,Búzios / Búzios_Eco / Tambuatá,2023-12-01,NA,NA
Petrobras 77,144226.14798988582,5,Búzios / Búzios_Eco / Tambuatá,2023-12-01,NA,NA
Petrobras 76,142607.46721245968,5,Búzios / Búzios_Eco / Tambuatá,2023-12-01,NA,NA
Petrobras 71,130937.62541767226,4,Itapu / Itapu_Eco,2023-12-01,NA,NA
Petrobras 74 (P-74),129705.53259461389,5,Búzios / Búzios_Eco / Tambuatá,2023-12-01,NA,NA
FPSO Cidade de Itaguaí,120752.97332791581,8,Tupi,2023-12-01,NA,NA
FPSO Cidade de Maricá,116701.8063293903,6,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
FPSO Cidade de Saquarema,112628.37786720096,7,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
FPSO Cidade de Paraty,110076.55224041227,6,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
Petrobras 67 (P-67),109391.63311952294,7,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
FPSO Cidade de Mangaratiba,106431.9246764716,8,Tupi,2023-12-01,NA,NA
Petrobras 66 (P-66),102219.0612714371,7,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
FPSO Cidade de São Paulo,83939.42391457775,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-12-01,NA,NA
FPSO Cidade de Ilha Bela,81222.75372992647,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-12-01,NA,NA
Petrobras 58,72094.74163355806,14,Baleia Anã / Jubarte,2023-12-01,NA,NA
Petrobras 53,61343.058911462584,9,Marlim Leste,2023-12-01,NA,NA
FPSO Frade,53202.08478550774,11,Frade,2023-12-01,NA,NA
FPSO Cidade de Caraguatatuba,48203.11747742259,3,Lapa,2023-12-01,NA,NA
FPSO Pioneiro de Libra,47266.87986761387,1,Anc_Mero / Mero,2023-12-01,NA,NA
Petrobras 52,47063.324978451936,15,Roncador,2023-12-01,NA,NA
Peregrino C,44720.49127432742,5,Peregrino / Pitangola,2023-12-01,NA,NA
FPSO Anna Nery,43808.50757767289,8,Marlim / Marlim Sul,2023-12-01,NA,NA
FPSO Cidade de Angra dos Reis,39050.64775921483,5,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
Petrobras 69,36746.760355713224,6,Anc_Tupi / Sul De Tupi / Tupi,2023-12-01,NA,NA
Polo Arara,6721.448211250001,37,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-12-01,NA,NA
FPSO Guanabara,178775.97094381502,4,Anc_Mero / Mero,2023-02-01,NA,250821.2877141579
FPSO Carioca (Mv-30),167221.27795431178,4,Sépia / Sépia Leste / Sépia_Eco,2023-02-01,NA,203354.9106022182
Petrobras 75 (P-75),163459.24487662074,4,Búzios / Búzios_Eco / Tambuatá,2023-02-01,NA,214152.20893221715
Petrobras 77,155002.3722680018,5,Búzios / Búzios_Eco / Tambuatá,2023-02-01,NA,193508.17777935503
Petrobras 68,153370.33100660608,9,Berbigão / Sul De Berbigão / Sururu,2023-02-01,NA,177450.2348932486
Petrobras 74 (P-74),146884.33891243715,4,Búzios / Búzios_Eco / Tambuatá,2023-02-01,NA,185690.50441635321
FPSO Cidade de Maricá,145946.16770054252,6,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,179707.94826531218
Petrobras 76,143978.4763443986,4,Búzios / Búzios_Eco / Tambuatá,2023-02-01,NA,183342.8530510997
Petrobras 70,140910.00107206925,5,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-02-01,NA,173744.03892992425
FPSO Cidade de Itaguaí,115478.65333357394,8,Tupi,2023-02-01,NA,155990.3992095893
FPSO Cidade de Saquarema,109285.3402507775,8,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,143262.12516614108
Petrobras 66 (P-66),105673.93082560893,7,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,139655.10602835251
Petrobras 69,101712.64442938035,7,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,133652.20840713536
FPSO Cidade de Paraty,98430.86507688179,5,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,125516.08892755178
FPSO Cidade de Ilha Bela,92419.88976717214,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-02-01,NA,122575.8242437182
FPSO Cidade de Mangaratiba,87694.34563018501,8,Tupi,2023-02-01,NA,117983.89386665287
FPSO Cidade de São Paulo,83510.25259869358,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-02-01,NA,108494.7623508018
Petrobras 67 (P-67),80108.50972178963,6,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,99419.66881000427
FPSO Cidade de Campos dos Goytacazes,75019.98244679107,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-02-01,NA,80272.82651531821
Petrobras 58,65462.195408429296,13,Baleia Anã / Jubarte,2023-02-01,NA,77819.74198530358
Petrobras 52,56031.902369495365,16,Roncador,2023-02-01,NA,61914.41886785036
Petrobras 71,51160.60154510929,1,Itapu / Itapu_Eco,2023-02-01,NA,54973.432026904644
Petrobras 40,48204.91492106393,15,Marlim / Marlim Sul,2023-02-01,NA,53787.3495263125
Petrobras 53,46492.31736736536,7,Marlim Leste,2023-02-01,NA,51279.5959895025
FPSO Pioneiro de Libra,44273.779852250715,1,Anc_Mero / Mero,2023-02-01,NA,63058.15589652571
FPSO Cidade de Caraguatatuba,41608.178142225,4,Lapa,2023-02-01,NA,51719.68119094643
Petrobras 55,37053.48231717929,9,Roncador,2023-02-01,NA,40528.98018005143
FPSO Cidade de Angra dos Reis,33505.17922964892,4,Anc_Tupi / Sul De Tupi / Tupi,2023-02-01,NA,41604.59968960714
Petrobras 62,32500.232474525354,12,Roncador,2023-02-01,NA,41084.361192972494
Polo Arara,5903.227494868573,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-02-01,NA,54636.44691998394
FPSO Guanabara,170372.08062944064,4,Anc_Mero / Mero,2023-01-01,NA,239344.29478380195
FPSO Carioca (Mv-30),167645.66712330517,4,Sépia / Sépia Leste / Sépia_Eco,2023-01-01,NA,202898.80922569032
Petrobras 68,149359.37291559775,9,Berbigão / Sul De Berbigão / Sururu,2023-01-01,NA,172845.77707696872
Petrobras 74 (P-74),147755.44417738685,5,Búzios / Búzios_Eco / Tambuatá,2023-01-01,NA,186557.30235709652
Petrobras 77,147697.96850229808,5,Búzios / Búzios_Eco / Tambuatá,2023-01-01,NA,184032.95650440356
Petrobras 75 (P-75),146056.36786012907,4,Búzios / Búzios_Eco / Tambuatá,2023-01-01,NA,189576.69541592908
Petrobras 76,141771.8338962184,4,Búzios / Búzios_Eco / Tambuatá,2023-01-01,NA,180598.39885540225
Petrobras 70,139041.45882426837,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-01-01,NA,171123.12452286
FPSO Cidade de Itaguaí,115450.86213417356,8,Tupi,2023-01-01,NA,156104.92793960677
FPSO Cidade de Maricá,110293.82398780162,6,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,135649.57307238097
FPSO Cidade de Mangaratiba,109224.69182306224,8,Tupi,2023-01-01,NA,146082.46935424642
Petrobras 66 (P-66),107617.17038595871,7,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,141718.32912021066
Petrobras 69,105522.00728385065,7,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,139684.2946525216
FPSO Cidade de Saquarema,104896.31788345161,8,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,138073.62404957903
FPSO Cidade de Paraty,98682.95504578,5,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,125626.70991020968
FPSO Cidade de Ilha Bela,87282.91424514838,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-01-01,NA,115911.95451116805
FPSO Cidade de São Paulo,76964.78914083839,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-01-01,NA,99171.05099738418
FPSO Cidade de Campos dos Goytacazes,75864.24586785614,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-01-01,NA,81182.32161386388
Petrobras 67 (P-67),67801.58839807936,7,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,84506.6103718871
Petrobras 52,59805.05083130226,16,Roncador,2023-01-01,NA,66676.52460515774
Peregrino A,54368.661933120646,16,Peregrino,2023-01-01,NA,54740.50494967162
Petrobras 40,53690.66626986452,16,Marlim / Marlim Sul,2023-01-01,NA,60091.108346645815
Petrobras 58,52322.41285730872,11,Baleia Anã / Jubarte,2023-01-01,NA,62822.567700680986
Petrobras 71,50917.35614326613,1,Itapu / Itapu_Eco,2023-01-01,NA,54669.06934563355
FPSO Pioneiro de Libra,49448.844173795806,1,Anc_Mero / Mero,2023-01-01,NA,70525.18082298129
Petrobras 53,46421.01404498806,6,Marlim Leste,2023-01-01,NA,50665.368905515796
Petrobras 57,39085.53672659355,16,Jubarte,2023-01-01,NA,41407.48095722258
Petrobras 55,39062.27153099194,9,Roncador,2023-01-01,NA,42836.70433866774
FPSO Cidade de Angra dos Reis,34828.8357806242,5,Anc_Tupi / Sul De Tupi / Tupi,2023-01-01,NA,43439.548743352585
Polo Arara,5732.512950084517,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-01-01,NA,47616.96014156485
FPSO Guanabara,176186.27731302418,4,Anc_Mero / Mero,2023-07-01,NA,246965.15924553224
Petrobras 77,165254.01434872582,5,Búzios / Búzios_Eco / Tambuatá,2023-07-01,NA,206800.9272053371
FPSO Carioca (Mv-30),165089.57497636546,4,Sépia / Sépia Leste / Sépia_Eco,2023-07-01,NA,200080.85869434514
Petrobras 75 (P-75),150271.2362942739,4,Búzios / Búzios_Eco / Tambuatá,2023-07-01,NA,196929.09394640033
Petrobras 76,146407.0578398558,5,Búzios / Búzios_Eco / Tambuatá,2023-07-01,NA,184138.91626684033
Petrobras 74 (P-74),146054.95123259936,5,Búzios / Búzios_Eco / Tambuatá,2023-07-01,NA,184357.73611907806
FPSO Cidade de Maricá,144363.21694968548,6,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,178037.88537782678
Petrobras 68,142176.44702576642,9,Berbigão / Sul De Berbigão / Sururu,2023-07-01,NA,166749.0697221903
FPSO Cidade de Mangaratiba,123455.08726905033,8,Tupi,2023-07-01,NA,167946.72258914518
Petrobras 67 (P-67),112862.87354913547,7,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,143061.11265731129
Petrobras 69,109538.71768871065,6,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,143548.21867398033
Petrobras 70,108407.77130026228,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-07-01,NA,133539.63317761195
Petrobras 66 (P-66),107248.48404243935,8,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,143372.65993202548
FPSO Cidade de Paraty,106146.4685481229,6,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,134334.04896312903
FPSO Cidade de Itaguaí,99676.26050751291,8,Tupi,2023-07-01,NA,135455.3804639555
FPSO Cidade de Ilha Bela,97712.14904600549,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-07-01,NA,129174.34271993453
Petrobras 71,92483.08303897,3,Itapu / Itapu_Eco,2023-07-01,NA,101120.87444533677
FPSO Cidade de Saquarema,85232.99110870807,7,Anc_Tupi / Sul De Tupi / Tupi,2023-07-01,NA,111456.38620766356
FPSO Cidade de São Paulo,83826.2105809313,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-07-01,NA,106550.35266840228
Petrobras 58,74986.37424559676,15,Baleia Anã / Jubarte,2023-07-01,NA,88506.63512819966
FPSO Cidade de Campos dos Goytacazes,68429.2893202958,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-07-01,NA,73180.33118761095
Petrobras 52,56008.395516205164,15,Roncador,2023-07-01,NA,61897.50647455097
FPSO Frade,53993.09859540322,12,Frade,2023-07-01,NA,57738.252337529026
FPSO Pioneiro de Libra,49093.35912698097,1,Anc_Mero / Mero,2023-07-01,NA,69590.70983819419
Peregrino A,47363.686942015156,15,Peregrino,2023-07-01,NA,47713.851418261285
FPSO Cidade de Caraguatatuba,47225.591728700005,3,Lapa,2023-07-01,NA,57905.678152256776
Petrobras 53,44253.548562444514,8,Marlim Leste,2023-07-01,NA,48304.48060613193
Petrobras 40,42850.66690527936,13,Marlim / Marlim Sul,2023-07-01,NA,47672.99950810549
FPSO Almirante Barroso,37638.69416705871,1,Búzios / Búzios_Eco / Tambuatá,2023-07-01,NA,46466.24143103581
Polo Arara,4948.190483543551,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-07-01,NA,46090.36928393711
FPSO Guanabara,177029.32886499568,4,Anc_Mero / Mero,2023-06-01,NA,248391.22992396567
FPSO Carioca (Mv-30),166691.03548492066,4,Sépia / Sépia Leste / Sépia_Eco,2023-06-01,NA,201248.67857314931
Petrobras 75 (P-75),155337.09314815266,4,Búzios / Búzios_Eco / Tambuatá,2023-06-01,NA,203373.15624779934
Petrobras 68,150921.750519678,9,Berbigão / Sul De Berbigão / Sururu,2023-06-01,NA,176972.36310412735
Petrobras 77,150734.74482400264,5,Búzios / Búzios_Eco / Tambuatá,2023-06-01,NA,188080.26610448398
Petrobras 76,150166.3309204167,5,Búzios / Búzios_Eco / Tambuatá,2023-06-01,NA,187730.75792595034
FPSO Cidade de Maricá,143394.63719096268,6,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,177066.90985076467
Petrobras 74 (P-74),142170.1898145667,5,Búzios / Búzios_Eco / Tambuatá,2023-06-01,NA,179406.23590369636
Petrobras 70,132790.64441535933,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-06-01,NA,163948.33867518068
FPSO Cidade de Itaguaí,122571.87964927967,8,Tupi,2023-06-01,NA,165958.42609128467
FPSO Cidade de Saquarema,107701.59596937499,7,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,138682.838834701
Petrobras 66 (P-66),106297.03820634633,7,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,140655.965440302
FPSO Cidade de Ilha Bela,99486.318512106,8,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-06-01,NA,131292.91318087667
Petrobras 67 (P-67),94729.46079564566,7,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,122772.786454036
FPSO Cidade de São Paulo,86877.73435637668,6,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-06-01,NA,110628.95027905701
Petrobras 69,86816.766808726,7,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,114462.766846699
FPSO Cidade de Paraty,76538.34403343768,5,Anc_Tupi / Sul De Tupi / Tupi,2023-06-01,NA,97669.87568613235
Petrobras 71,75535.31977371634,3,Itapu / Itapu_Eco,2023-06-01,NA,81836.88417064435
FPSO Cidade de Mangaratiba,71704.987551154,8,Tupi,2023-06-01,NA,96624.19414465134
FPSO Cidade de Campos dos Goytacazes,70083.72780283664,11,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste,2023-06-01,NA,74926.42297568764
Petrobras 58,64643.12811357333,15,Baleia Anã / Jubarte,2023-06-01,NA,75515.90942005633
Petrobras 52,53642.71293426866,14,Roncador,2023-06-01,NA,58904.72562888133
FPSO Frade,52715.45740309,11,Frade,2023-06-01,NA,56205.77256074833
FPSO Cidade de Caraguatatuba,46158.46675730667,3,Lapa,2023-06-01,NA,56602.509874270334
Petrobras 53,45470.67393720334,8,Marlim Leste,2023-06-01,NA,50116.66913988634
Peregrino A,39996.777671082666,16,Peregrino,2023-06-01,NA,40293.12374651533
FPSO Pioneiro de Libra,39231.726276108,1,Anc_Mero / Mero,2023-06-01,NA,55558.44062075267
Petrobras 48,38434.673166494664,7,Barracuda / Caratinga,2023-06-01,NA,43185.535226402666
Petrobras 57,37415.52078563166,16,Jubarte,2023-06-01,NA,39634.55170638933
Polo Arara,5648.975433734334,34,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu,2023-06-01,NA,54352.30267160632
FPSO Guanabara,170582.58312099034,4,Anc_Mero / Mero,2023-05-01,NA,238646.18248209194
FPSO Carioca (Mv-30),164585.59035600998,4,Sépia / Sépia Leste / Sépia_Eco,2023-05-01,NA,198989.4786600474
Petrobras 77,163374.98839344198,5,Búzios / Búzios_Eco / Tambuatá,2023-05-01,NA,204580.9986204807
Petrobras 70,157717.4836594755,6,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,2023-05-01,NA,194290.5273759755
Petrobras 68,148791.61611454937,9,Berbigão / Sul De Berbigão / Sururu,2023-05-01,NA,173559.36677501485
FPSO Cidade de Maricá,142407.6147895197,6,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,176029.04322236453
Petrobras 74 (P-74),135067.66521331808,5,Búzios / Búzios_Eco / Tambuatá,2023-05-01,NA,171905.4202503013
Petrobras 76,133750.63885396166,5,Búzios / Búzios_Eco / Tambuatá,2023-05-01,NA,165872.51043835294
FPSO Cidade de Itaguaí,128848.03224666482,8,Tupi,2023-05-01,NA,174095.38945564223
Petrobras 67 (P-67),114441.74530748323,7,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,148207.94406523
FPSO Cidade de Saquarema,114027.4478995061,8,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,149073.43916748321
Petrobras 75 (P-75),110376.64719139614,4,Búzios / Búzios_Eco / Tambuatá,2023-05-01,NA,141428.4405018858
Petrobras 66 (P-66),105913.2184514655,7,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,139730.10374454584
Petrobras 69,95530.63354820161,7,Anc_Tupi / Sul De Tupi / Tupi,2023-05-01,NA,127556.31202480645
FPSO Cidade de Ilha Bela,94253.33484618775,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-05-01,NA,124350.86253112904
FPSO Cidade de Mangaratiba,85383.41881335936,8,Tupi,2023-05-01,NA,115356.4238833771
FPSO Cidade de São Paulo,85041.78453685579,7,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,2023-05-01,NA,108883.56377481515
