Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
PETROBRAS 54,41989.39409161,12,Roncador,2018-09-01,580.868522333333,45642.9467320674
PETROBRAS 55,38741.46200381,9,Roncador,2018-09-01,626.479156,42681.8968640104
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,38450.13687404,3,Anc_Tartaruga_Verde⁴/Tartaruga Verde,2018-09-01,493.257642666667,41552.6337274612
FPSO CIDADE DE ANCHIETA,38367.1533141067,5,Baleia Azul³/Jubarte³/Pirambu³,2018-09-01,1388.77798,47102.3029404905
FPSO ESPIRITO SANTO,38178.5382992583,19,Argonauta/Ostra,2018-09-01,365.527873666667,40477.6391743257
FPSO CIDADE DE CARAGUATATUBA,37778.6577244733,2,Lapa,2018-09-01,1320.12749366667,46082.0088354129
PETROBRAS 50,36173.2354787232,14,Albacora/Albacora Leste,2018-09-01,557.098359333333,39677.2783102416
PETROBRAS 51,35802.4749001933,12,Marlim Sul,2018-09-01,564.312051,39351.8904816936
FPSO CAPIXABA,34776.82493594,5,Cachalote³/Jubarte³,2018-09-01,788.451947,39736.0378767001
PETROBRAS 74 (P-74),34659.6499688467,2,Búzios,2018-09-01,1911.06163233333,46679.8645345132
PETROBRAS 53,33563.2081930433,14,Marlim Leste,2018-09-01,514.529047666666,36799.4981423476
