Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
FPSO Cidade de São Paulo,NA,4565.2236250000005,118176.74324299375,7,NA,2022-09-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,4298.368816333333,127039.07021311318,5,NA,2022-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,3728.4716343333334,166478.11930691855,8,NA,2022-09-01,Berbigão / Sul De Berbigão / Sururu
Petrobras 62,NA,2413.1588383333324,41821.93182729803,11,NA,2022-09-01,Roncador
FPSO Cidade de Caraguatatuba,NA,2281.4943169999997,69206.07486854644,4,NA,2022-09-01,Lapa
Petrobras 58,NA,2179.473239,77553.85102702236,13,NA,2022-09-01,Baleia Anã / Jubarte
FPSO Cidade de Angra dos Reis,NA,1577.5569413333333,50269.50505067185,5,NA,2022-09-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,964.5144180000002,57969.600079866934,15,NA,2022-09-01,Roncador
Petrobras 40,NA,948.4524963333333,58237.949032698525,15,NA,2022-09-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,898.9731836666666,87312.8352044754,11,NA,2022-09-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,770.2507316666668,46526.32162392444,7,NA,2022-09-01,Marlim Leste
Petrobras 50,NA,683.4381283333333,46717.85981329406,13,NA,2022-09-01,Albacora / Albacora Leste
FPSO Espirito Santo,NA,367.911325,40398.637963565154,22,NA,2022-09-01,Abalone / Argonauta / Ostra
Peregrino A,NA,70.410707,51501.766792664705,13,NA,2022-09-01,Peregrino
Polo Arara,NA,7597.594400000001,53742.80603536401,35,NA,2023-04-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,7193.590766666666,175740.07065737867,8,NA,2023-04-01,Tupi
Petrobras 75 (P-75),NA,6625.762266666667,187456.5800762023,4,NA,2023-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,6085.540266666667,186704.85196642997,5,NA,2023-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,6070.714500000001,177889.77592129735,5,NA,2023-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6008.320233333333,184573.53076883964,5,NA,2023-04-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,5960.563999999999,197272.36950486235,5,NA,2023-04-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Guanabara,NA,5681.338366666667,126577.10318379698,4,NA,2023-04-01,Anc_Mero / Mero
Petrobras 67 (P-67),NA,5536.010833333334,155457.93800972067,7,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 66 (P-66),NA,5501.921566666668,144916.67413822832,8,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,5472.506199999998,143835.01446422667,8,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,5455.028566666669,139567.52765738402,7,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5454.818066666666,198290.95265792034,4,NA,2023-04-01,Sépia / Sépia Leste / Sépia_Eco
FPSO Cidade de Maricá,NA,5435.872966666667,179225.5699171803,6,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,4796.8729,130232.69232426,8,NA,2023-04-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,4288.593533333333,124788.88147733134,5,NA,2023-04-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de São Paulo,NA,3822.2178,105934.70300861933,7,NA,2023-04-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Mangaratiba,NA,3430.5823000000005,84871.90220639801,7,NA,2023-04-01,Tupi
FPSO Pioneiro de Libra,NA,3037.3524333333335,64771.290330435,1,NA,2023-04-01,Anc_Mero / Mero
Petrobras 58,NA,1786.1177333333335,74231.93402385832,14,NA,2023-04-01,Baleia Anã / Jubarte
Petrobras 62,NA,1765.7624666666666,40257.10263362634,10,NA,2023-04-01,Roncador
Petrobras 68,NA,1642.6239666666668,73854.91505502601,8,NA,2023-04-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de Caraguatatuba,NA,1626.7308000000003,56245.756673258,3,NA,2023-04-01,Lapa
Petrobras 52,NA,887.7430666666668,55198.367867682675,15,NA,2023-04-01,Roncador
Petrobras 40,NA,859.1585333333335,51461.40221374134,14,NA,2023-04-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,801.4295666666668,76407.04341104632,11,NA,2023-04-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 71,NA,778.3811666666666,56162.74166427467,1,NA,2023-04-01,Itapu / Itapu_Eco
Petrobras 53,NA,616.6497333333334,43319.84761948234,7,NA,2023-04-01,Marlim Leste
FPSO Frade,NA,518.3586,50118.203643866,11,NA,2023-04-01,Frade
Peregrino A,NA,53.77373333333333,43330.659802872346,16,NA,2023-04-01,Peregrino
FPSO Guanabara,NA,11630.272580645162,NA,4,NA,2023-12-01,Anc_Mero / Mero
Polo Arara,NA,7536.030677419355,NA,37,NA,2023-12-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,7312.349903225807,NA,8,NA,2023-12-01,Tupi
Petrobras 75 (P-75),NA,7073.147999999999,NA,4,NA,2023-12-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,6352.216193548386,NA,5,NA,2023-12-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Mangaratiba,NA,6246.878258064515,NA,8,NA,2023-12-01,Tupi
Petrobras 70,NA,6010.142612903226,NA,6,NA,2023-12-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Saquarema,NA,5928.4020322580645,NA,7,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5794.452451612903,NA,4,NA,2023-12-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 77,NA,5740.772774193549,NA,5,NA,2023-12-01,Búzios / Búzios_Eco / Tambuatá
FPSO Almirante Barroso,NA,5646.270516129032,NA,3,NA,2023-12-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,5405.314806451612,NA,7,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 74 (P-74),NA,5194.230161290323,NA,5,NA,2023-12-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 67 (P-67),NA,4749.907451612903,NA,7,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4712.319483870967,NA,6,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,4413.081580645162,NA,6,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4254.617548387097,NA,10,NA,2023-12-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de Ilha Bela,NA,4039.4269677419356,NA,7,NA,2023-12-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de São Paulo,NA,3696.4504193548396,NA,6,NA,2023-12-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3248.1079677419357,NA,1,NA,2023-12-01,Anc_Mero / Mero
FPSO Cidade de Angra dos Reis,NA,1968.3650645161292,NA,5,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 58,NA,1897.8551935483872,NA,14,NA,2023-12-01,Baleia Anã / Jubarte
Petrobras 71,NA,1849.1357741935485,NA,4,NA,2023-12-01,Itapu / Itapu_Eco
FPSO Cidade de Caraguatatuba,NA,1722.914806451613,NA,3,NA,2023-12-01,Lapa
Petrobras 69,NA,1543.222838709678,NA,6,NA,2023-12-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 53,NA,1005.7787419354837,NA,9,NA,2023-12-01,Marlim Leste
Petrobras 52,NA,915.3026129032258,NA,15,NA,2023-12-01,Roncador
FPSO Anna Nery,NA,690.6542903225808,NA,8,NA,2023-12-01,Marlim / Marlim Sul
FPSO Frade,NA,512.0674838709679,NA,11,NA,2023-12-01,Frade
Peregrino C,NA,173.0757419354839,NA,5,NA,2023-12-01,Peregrino / Pitangola
FPSO Guanabara,NA,11454.29142857143,250821.2877141579,4,NA,2023-02-01,Anc_Mero / Mero
Petrobras 75 (P-75),NA,8059.538214285714,214152.20893221715,4,NA,2023-02-01,Búzios / Búzios_Eco / Tambuatá
Polo Arara,NA,7747.963678571429,54636.44691998394,34,NA,2023-02-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,6440.853678571429,155990.3992095893,8,NA,2023-02-01,Tupi
Petrobras 76,NA,6258.436535714286,183342.8530510997,4,NA,2023-02-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,6169.688035714286,185690.50441635321,4,NA,2023-02-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,6121.934607142857,193508.17777935503,5,NA,2023-02-01,Búzios / Búzios_Eco / Tambuatá
FPSO Carioca (Mv-30),NA,5744.7892142857145,203354.9106022182,4,NA,2023-02-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 66 (P-66),NA,5402.575785714286,139655.10602835251,7,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,5401.877785714285,143262.12516614108,8,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,5367.694821428572,179707.94826531218,6,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,5220.195500000001,173744.03892992425,5,NA,2023-02-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
Petrobras 69,NA,5077.9855,133652.20840713536,7,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Mangaratiba,NA,4815.653928571429,117983.89386665287,8,NA,2023-02-01,Tupi
FPSO Cidade de Ilha Bela,NA,4794.411035714285,122575.8242437182,6,NA,2023-02-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,4306.207,125516.08892755178,5,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de São Paulo,NA,3972.220107142858,108494.7623508018,7,NA,2023-02-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 68,NA,3828.39925,177450.2348932486,9,NA,2023-02-01,Berbigão / Sul De Berbigão / Sururu
Petrobras 67 (P-67),NA,3070.229321428572,99419.66881000427,6,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Pioneiro de Libra,NA,2986.4775,63058.15589652571,1,NA,2023-02-01,Anc_Mero / Mero
Petrobras 58,NA,1964.6931428571427,77819.74198530358,13,NA,2023-02-01,Baleia Anã / Jubarte
FPSO Cidade de Caraguatatuba,NA,1607.6007142857143,51719.68119094643,4,NA,2023-02-01,Lapa
Petrobras 62,NA,1364.7675714285713,41084.361192972494,12,NA,2023-02-01,Roncador
FPSO Cidade de Angra dos Reis,NA,1287.7051071428575,41604.59968960714,4,NA,2023-02-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,935.2455000000001,61914.41886785036,16,NA,2023-02-01,Roncador
Petrobras 40,NA,887.5362857142858,53787.3495263125,15,NA,2023-02-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,835.1355714285716,80272.82651531821,11,NA,2023-02-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,761.1165714285714,51279.5959895025,7,NA,2023-02-01,Marlim Leste
Petrobras 71,NA,606.1916785714285,54973.432026904644,1,NA,2023-02-01,Itapu / Itapu_Eco
Petrobras 55,NA,552.5600714285714,40528.98018005143,9,NA,2023-02-01,Roncador
FPSO Guanabara,NA,10965.707096774195,239344.29478380195,4,NA,2023-01-01,Anc_Mero / Mero
Petrobras 75 (P-75),NA,6919.18,189576.69541592908,4,NA,2023-01-01,Búzios / Búzios_Eco / Tambuatá
Polo Arara,NA,6659.09577419355,47616.96014156485,34,NA,2023-01-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,6463.480741935484,156104.92793960677,8,NA,2023-01-01,Tupi
Petrobras 76,NA,6172.931290322578,180598.39885540225,4,NA,2023-01-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,6169.003225806452,186557.30235709652,5,NA,2023-01-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Mangaratiba,NA,5859.919064516128,146082.46935424642,8,NA,2023-01-01,Tupi
Petrobras 77,NA,5776.802161290321,184032.95650440356,5,NA,2023-01-01,Búzios / Búzios_Eco / Tambuatá
FPSO Carioca (Mv-30),NA,5604.802387096774,202898.80922569032,4,NA,2023-01-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 69,NA,5431.370322580645,139684.2946525216,7,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 66 (P-66),NA,5421.651645161291,141718.32912021066,7,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,5274.770806451613,138073.62404957903,8,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,5100.577870967743,171123.12452286,6,NA,2023-01-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Ilha Bela,NA,4551.65422580645,115911.95451116805,6,NA,2023-01-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,4283.715225806452,125626.70991020968,5,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,4031.2424516129036,135649.57307238097,6,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,3734.0403225806454,172845.77707696872,9,NA,2023-01-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de São Paulo,NA,3530.5139354838707,99171.05099738418,7,NA,2023-01-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3350.870161290323,70525.18082298129,1,NA,2023-01-01,Anc_Mero / Mero
Petrobras 67 (P-67),NA,2655.8865806451613,84506.6103718871,7,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 58,NA,1669.391419354839,62822.567700680986,11,NA,2023-01-01,Baleia Anã / Jubarte
FPSO Cidade de Angra dos Reis,NA,1368.9941290322581,43439.548743352585,5,NA,2023-01-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 52,NA,1092.4771612903226,66676.52460515774,16,NA,2023-01-01,Roncador
Petrobras 40,NA,1017.5890967741938,60091.108346645815,16,NA,2023-01-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,845.5065806451612,81182.32161386388,11,NA,2023-01-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,674.7985806451613,50665.368905515796,6,NA,2023-01-01,Marlim Leste
Petrobras 55,NA,600.086935483871,42836.70433866774,9,NA,2023-01-01,Roncador
Petrobras 71,NA,596.474806451613,54669.06934563355,1,NA,2023-01-01,Itapu / Itapu_Eco
Petrobras 57,NA,369.1596774193549,41407.48095722258,16,NA,2023-01-01,Jubarte
Peregrino A,NA,59.118322580645156,54740.50494967162,16,NA,2023-01-01,Peregrino
FPSO Guanabara,NA,11252.94435483871,246965.15924553224,4,NA,2023-07-01,Anc_Mero / Mero
Petrobras 75 (P-75),NA,7418.007483870967,196929.09394640033,4,NA,2023-07-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Mangaratiba,NA,7073.605612903225,167946.72258914518,8,NA,2023-07-01,Tupi
Petrobras 77,NA,6605.432096774194,206800.9272053371,5,NA,2023-07-01,Búzios / Búzios_Eco / Tambuatá
Polo Arara,NA,6541.0845161290335,46090.36928393711,34,NA,2023-07-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
Petrobras 74 (P-74),NA,6089.656903225807,184357.73611907806,5,NA,2023-07-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 76,NA,5998.886838709677,184138.91626684033,5,NA,2023-07-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 66 (P-66),NA,5743.285709677419,143372.65993202548,8,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Itaguaí,NA,5688.426193548386,135455.3804639555,8,NA,2023-07-01,Tupi
FPSO Carioca (Mv-30),NA,5563.170225806452,200080.85869434514,4,NA,2023-07-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 69,NA,5407.079225806452,143548.21867398033,6,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,5353.845096774195,178037.88537782678,6,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,5002.089677419355,129174.34271993453,7,NA,2023-07-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 67 (P-67),NA,4801.136935483872,143061.11265731129,7,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Paraty,NA,4481.4677096774185,134334.04896312903,6,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Saquarema,NA,4169.187161290322,111456.38620766356,7,NA,2023-07-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 70,NA,3995.6472258064514,133539.63317761195,6,NA,2023-07-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
Petrobras 68,NA,3906.7352903225815,166749.0697221903,9,NA,2023-07-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de São Paulo,NA,3612.8503225806453,106550.35266840228,6,NA,2023-07-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Pioneiro de Libra,NA,3258.818741935484,69590.70983819419,1,NA,2023-07-01,Anc_Mero / Mero
Petrobras 58,NA,2149.5499677419352,88506.63512819966,15,NA,2023-07-01,Baleia Anã / Jubarte
FPSO Cidade de Caraguatatuba,NA,1697.998258064516,57905.678152256776,3,NA,2023-07-01,Lapa
FPSO Almirante Barroso,NA,1403.4680322580648,46466.24143103581,1,NA,2023-07-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 71,NA,1373.2992580645162,101120.87444533677,3,NA,2023-07-01,Itapu / Itapu_Eco
Petrobras 52,NA,936.2939354838711,61897.50647455097,15,NA,2023-07-01,Roncador
Petrobras 40,NA,766.6897096774194,47672.99950810549,13,NA,2023-07-01,Marlim / Marlim Sul
FPSO Cidade de Campos dos Goytacazes,NA,755.3553870967744,73180.33118761095,11,NA,2023-07-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 53,NA,644.046806451613,48304.48060613193,8,NA,2023-07-01,Marlim Leste
FPSO Frade,NA,595.431935483871,57738.252337529026,12,NA,2023-07-01,Frade
Peregrino A,NA,55.671709677419365,47713.851418261285,15,NA,2023-07-01,Peregrino
FPSO Guanabara,NA,11345.636999999999,248391.22992396567,4,NA,2023-06-01,Anc_Mero / Mero
Polo Arara,NA,7743.211199999997,54352.30267160632,34,NA,2023-06-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
Petrobras 75 (P-75),NA,7637.1246666666675,203373.15624779934,4,NA,2023-06-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Itaguaí,NA,6897.910499999999,165958.42609128467,8,NA,2023-06-01,Tupi
Petrobras 76,NA,5972.267366666666,187730.75792595034,5,NA,2023-06-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 77,NA,5937.464133333331,188080.26610448398,5,NA,2023-06-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,5920.0589666666665,179406.23590369636,5,NA,2023-06-01,Búzios / Búzios_Eco / Tambuatá
FPSO Carioca (Mv-30),NA,5494.226866666666,201248.67857314931,4,NA,2023-06-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 66 (P-66),NA,5462.633566666667,140655.965440302,7,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,5353.464199999999,177066.90985076467,6,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Ilha Bela,NA,5056.845066666667,131292.91318087667,8,NA,2023-06-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
Petrobras 70,NA,4953.678133333334,163948.33867518068,6,NA,2023-06-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Saquarema,NA,4925.6246,138682.838834701,7,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,4458.533033333334,122772.786454036,7,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 69,NA,4395.3633,114462.766846699,7,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 68,NA,4141.716933333334,176972.36310412735,9,NA,2023-06-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de Mangaratiba,NA,3961.8377333333333,96624.19414465134,8,NA,2023-06-01,Tupi
FPSO Cidade de São Paulo,NA,3776.142033333334,110628.95027905701,6,NA,2023-06-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,3359.645466666667,97669.87568613235,5,NA,2023-06-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Pioneiro de Libra,NA,2595.740466666667,55558.44062075267,1,NA,2023-06-01,Anc_Mero / Mero
Petrobras 58,NA,1728.6343000000002,75515.90942005633,15,NA,2023-06-01,Baleia Anã / Jubarte
FPSO Cidade de Caraguatatuba,NA,1660.4703666666667,56602.509874270334,3,NA,2023-06-01,Lapa
Petrobras 71,NA,1001.8688000000001,81836.88417064435,3,NA,2023-06-01,Itapu / Itapu_Eco
Petrobras 52,NA,836.5932666666669,58904.72562888133,14,NA,2023-06-01,Roncador
FPSO Cidade de Campos dos Goytacazes,NA,769.9271000000002,74926.42297568764,11,NA,2023-06-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 48,NA,755.3268,43185.535226402666,7,NA,2023-06-01,Barracuda / Caratinga
Petrobras 53,NA,738.6543,50116.66913988634,8,NA,2023-06-01,Marlim Leste
FPSO Frade,NA,554.9158333333334,56205.77256074833,11,NA,2023-06-01,Frade
Petrobras 57,NA,352.7977666666667,39634.55170638933,16,NA,2023-06-01,Jubarte
Peregrino A,NA,47.11526666666666,40293.12374651533,16,NA,2023-06-01,Peregrino
FPSO Guanabara,NA,10821.24887096774,238646.18248209194,4,NA,2023-05-01,Anc_Mero / Mero
Polo Arara,NA,7241.29222580645,51482.88493129483,35,NA,2023-05-01,Arara Azul / Araracanga / Carapanaúba / Cupiúba / Rio Urucu / Sudoeste Urucu
FPSO Cidade de Itaguaí,NA,7193.755806451612,174095.38945564223,8,NA,2023-05-01,Tupi
Petrobras 77,NA,6551.232903225807,204580.9986204807,5,NA,2023-05-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 74 (P-74),NA,5856.735741935484,171905.4202503013,5,NA,2023-05-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 70,NA,5814.6500000000005,194290.5273759755,6,NA,2023-05-01,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu
FPSO Cidade de Saquarema,NA,5571.868032258065,149073.43916748321,8,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Carioca (Mv-30),NA,5469.781806451614,198989.4786600474,4,NA,2023-05-01,Sépia / Sépia Leste / Sépia_Eco
Petrobras 66 (P-66),NA,5376.455774193549,139730.10374454584,7,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 67 (P-67),NA,5368.397258064516,148207.94406523,7,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Cidade de Maricá,NA,5345.3806129032255,176029.04322236453,6,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 76,NA,5106.970096774193,165872.51043835294,5,NA,2023-05-01,Búzios / Búzios_Eco / Tambuatá
Petrobras 69,NA,5091.676612903225,127556.31202480645,7,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
Petrobras 75 (P-75),NA,4936.841225806451,141428.4405018858,4,NA,2023-05-01,Búzios / Búzios_Eco / Tambuatá
FPSO Cidade de Ilha Bela,NA,4785.125096774194,124350.86253112904,7,NA,2023-05-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Mangaratiba,NA,4765.327580645161,115356.4238833771,8,NA,2023-05-01,Tupi
Petrobras 68,NA,3937.7581612903227,173559.36677501485,9,NA,2023-05-01,Berbigão / Sul De Berbigão / Sururu
FPSO Cidade de São Paulo,NA,3790.540451612904,108883.56377481515,7,NA,2023-05-01,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá
FPSO Cidade de Paraty,NA,3611.372451612903,106343.52586065776,5,NA,2023-05-01,Anc_Tupi / Sul De Tupi / Tupi
FPSO Pioneiro de Libra,NA,3004.4002580645165,64046.741247155165,1,NA,2023-05-01,Anc_Mero / Mero
Petrobras 58,NA,2164.388161290323,84492.6792543255,14,NA,2023-05-01,Baleia Anã / Jubarte
FPSO Cidade de Caraguatatuba,NA,1716.6324193548387,57559.66941434678,3,NA,2023-05-01,Lapa
FPSO Cidade de Campos dos Goytacazes,NA,782.7863225806452,75468.27635752773,11,NA,2023-05-01,Espadarte / Tartaruga Verde / Tartaruga Verde Sudoeste
Petrobras 71,NA,755.2692903225806,56027.194338015484,1,NA,2023-05-01,Itapu / Itapu_Eco
Petrobras 53,NA,520.0346129032258,36627.241183196136,8,NA,2023-05-01,Marlim Leste
Petrobras 55,NA,514.6607741935484,33758.255539305166,9,NA,2023-05-01,Roncador
FPSO Frade,NA,500.06700000000006,50491.907713747416,11,NA,2023-05-01,Frade
Petrobras 57,NA,384.8065483870968,41576.10711117484,16,NA,2023-05-01,Jubarte
Peregrino C,NA,159.50441935483872,36069.87514826775,4,NA,2023-05-01,Peregrino / Pitangola
Peregrino A,NA,54.21667741935485,44918.52391320646,17,NA,2023-05-01,Peregrino
