Nº,Poço,Campo,Bacia,Localização,Operador,Gás natural (Mm³/d),mes
25,9-BUZ-7-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1210.5801300000003,2022-10-01
26,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1176.1982541935483,2022-10-01
27,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1158.8810348387096,2022-10-01
28,7-SPH-17-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1154.9341416129032,2022-10-01
29,7-LL-46-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1149.1288606451615,2022-10-01
30,3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1140.0272054838708,2022-10-01
1,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2718.3720466666664,2022-09-01
2,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,2322.3030693333335,2022-09-01
3,7-RO-111HP-RJS,Roncador,Campos,Mar,NA,2030.3407249999998,2022-09-01
4,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1913.721709,2022-09-01
5,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1865.800506,2022-09-01
6,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1810.2979870000001,2022-09-01
7,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1678.9029013333336,2022-09-01
8,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1510.668391,2022-09-01
9,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1479.625841,2022-09-01
10,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1463.2888276666667,2022-09-01
11,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1434.4533143333333,2022-09-01
12,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1423.1648380000001,2022-09-01
13,9-LL-2-RJS,Tupi,Santos,Mar,NA,1417.9305626666667,2022-09-01
14,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1417.7296563333332,2022-09-01
15,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1404.1200816666667,2022-09-01
16,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1364.7171563333334,2022-09-01
17,7-LL-51-RJS,Tupi,Santos,Mar,NA,1362.0415896666666,2022-09-01
18,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1332.812198,2022-09-01
19,7-LL-110D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1324.00171,2022-09-01
20,7-LL-102D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1300.0594643333332,2022-09-01
21,7-LL-46-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1274.5161416666667,2022-09-01
22,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1240.155516,2022-09-01
23,7-SRR-2-RJS,Sururu,Santos,Mar,NA,1240.096446,2022-09-01
24,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1232.1322716666666,2022-09-01
25,7-SPH-22-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1181.7079256666666,2022-09-01
26,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1174.528204,2022-09-01
27,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1172.7855686666667,2022-09-01
28,9-BUZ-7-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1169.1146983333333,2022-09-01
29,7-LL-83D-RJS,Tupi,Santos,Mar,NA,1165.7703666666666,2022-09-01
30,7-LL-67D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1154.1895673333333,2022-09-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,3037.3524333333335,2023-04-01
2,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2143.8789,2023-04-01
3,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2017.7959333333333,2023-04-01
4,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1958.5685,2023-04-01
5,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,1941.9552333333334,2023-04-01
6,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1895.7761000000003,2023-04-01
7,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1893.7781333333332,2023-04-01
8,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1841.6135666666667,2023-04-01
9,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1773.4725333333333,2023-04-01
10,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1772.0788,2023-04-01
11,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1770.0077666666664,2023-04-01
12,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,1690.3090333333334,2023-04-01
13,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1631.6637,2023-04-01
14,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1601.0807,2023-04-01
15,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1561.4068666666667,2023-04-01
16,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1445.5996,2023-04-01
17,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1400.8178666666668,2023-04-01
18,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1380.4198333333334,2023-04-01
19,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1322.8624666666665,2023-04-01
20,7-RO-111HP-RJS,Roncador,Campos,Mar,NA,1283.8952,2023-04-01
21,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1258.2245333333335,2023-04-01
22,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1246.2476333333334,2023-04-01
23,7-BUZ-36DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1211.1770666666669,2023-04-01
24,7-LL-70-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1209.4387666666667,2023-04-01
25,3-BRSA-883-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1194.6382666666666,2023-04-01
26,9-BRSA-1191-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1159.8317333333332,2023-04-01
27,3-BRSA-1172-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu / Peo-1Brsa1146Rjs_Iara_Entorno_Cco,Santos,Mar,NA,1157.9791333333335,2023-04-01
28,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1153.5286666666666,2023-04-01
29,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,1127.7558666666666,2023-04-01
30,7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1108.8031,2023-04-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,3248.1079677419357,2023-12-01
2,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,3049.0430645161287,2023-12-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,2974.2663548387095,2023-12-01
4,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,2952.2454516129037,2023-12-01
5,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2654.71770967742,2023-12-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2202.971612903226,2023-12-01
7,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2093.351161290322,2023-12-01
8,7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1964.5611290322581,2023-12-01
9,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1916.9469032258066,2023-12-01
10,7-BUZ-45DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1849.381129032258,2023-12-01
11,7-BUZ-50D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1832.3282580645161,2023-12-01
12,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1812.3025161290327,2023-12-01
13,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1730.0185161290324,2023-12-01
14,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1724.3911612903228,2023-12-01
15,9-LL-2-RJS,Tupi,Santos,Mar,NA,1701.9745806451613,2023-12-01
16,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1689.8412580645163,2023-12-01
17,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1625.1997096774194,2023-12-01
18,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1621.9998709677418,2023-12-01
19,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1566.0796451612903,2023-12-01
20,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1541.3269032258063,2023-12-01
21,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1507.7076451612902,2023-12-01
22,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1487.593870967742,2023-12-01
23,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1441.1430322580645,2023-12-01
24,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1439.6052258064515,2023-12-01
25,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1349.975870967742,2023-12-01
26,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1335.6821935483872,2023-12-01
27,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1323.387451612903,2023-12-01
28,3-BRSA-883-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1292.6008387096774,2023-12-01
29,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1250.1345161290321,2023-12-01
30,7-SPH-22-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1208.6289677419354,2023-12-01
1,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,3223.6090357142857,2023-02-01
2,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,2986.4775,2023-02-01
3,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2966.3461071428574,2023-02-01
4,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,2811.5935357142857,2023-02-01
5,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,2452.7427500000003,2023-02-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2329.9619285714284,2023-02-01
7,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2203.8854285714287,2023-02-01
8,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2155.7574642857144,2023-02-01
9,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1975.4085714285716,2023-02-01
10,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1942.0676785714284,2023-02-01
11,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1890.9408214285716,2023-02-01
12,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1880.2754642857144,2023-02-01
13,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1814.7225357142856,2023-02-01
14,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1715.7155,2023-02-01
15,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1598.033,2023-02-01
16,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1559.7439285714286,2023-02-01
17,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1550.2822857142858,2023-02-01
18,9-BRSA-1191-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1509.0028214285715,2023-02-01
19,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1464.5419642857144,2023-02-01
20,7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1462.72875,2023-02-01
21,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1408.3414285714284,2023-02-01
22,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1394.614892857143,2023-02-01
23,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1387.9161428571429,2023-02-01
24,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1384.3024642857142,2023-02-01
25,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1375.7895357142859,2023-02-01
26,7-LL-102D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1361.9332857142856,2023-02-01
27,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1283.7665357142857,2023-02-01
28,9-LL-2-RJS,Tupi,Santos,Mar,NA,1282.2156785714287,2023-02-01
29,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1243.3410714285715,2023-02-01
30,7-LL-46-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1168.692142857143,2023-02-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,3350.870161290323,2023-01-01
2,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,3129.480935483871,2023-01-01
3,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,3097.2218064516132,2023-01-01
4,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2965.832806451613,2023-01-01
5,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2133.5133548387093,2023-01-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2089.7653870967742,2023-01-01
7,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1971.6252580645162,2023-01-01
8,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1927.0184516129032,2023-01-01
9,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1911.3990322580646,2023-01-01
10,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1888.6129999999998,2023-01-01
11,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1819.019,2023-01-01
12,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,1773.1715483870967,2023-01-01
13,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1615.2359677419356,2023-01-01
14,7-LL-102D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1535.9867741935484,2023-01-01
15,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1516.9488709677419,2023-01-01
16,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1503.2986451612903,2023-01-01
17,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1497.924806451613,2023-01-01
18,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1491.306741935484,2023-01-01
19,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1442.6267741935485,2023-01-01
20,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1437.650322580645,2023-01-01
21,7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1424.629193548387,2023-01-01
22,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1408.5689354838707,2023-01-01
23,9-LL-2-RJS,Tupi,Santos,Mar,NA,1394.0114516129033,2023-01-01
24,9-BRSA-1191-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1360.6708064516129,2023-01-01
25,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1357.247193548387,2023-01-01
26,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1312.9730967741934,2023-01-01
27,7-LL-70-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1309.6496451612902,2023-01-01
28,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1296.2825161290323,2023-01-01
29,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1258.6574193548386,2023-01-01
30,7-LL-46-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1207.6775161290323,2023-01-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,3258.818741935484,2023-07-01
2,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,3122.753935483871,2023-07-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,2988.712322580645,2023-07-01
4,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,2931.5234838709675,2023-07-01
5,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2209.954612903226,2023-07-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2169.824258064516,2023-07-01
7,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2019.6492903225806,2023-07-01
8,9-LL-2-RJS,Tupi,Santos,Mar,NA,1952.555548387097,2023-07-01
9,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1876.187870967742,2023-07-01
10,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1806.8435161290324,2023-07-01
11,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1782.234806451613,2023-07-01
12,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1765.8809032258064,2023-07-01
13,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1691.659612903226,2023-07-01
14,7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1606.8193225806451,2023-07-01
15,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1595.254548387097,2023-07-01
16,7-RO-111HP-RJS,Roncador,Campos,Mar,NA,1591.4204193548387,2023-07-01
17,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1582.6352903225807,2023-07-01
18,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1571.8042258064515,2023-07-01
19,7-LL-27-RJS,Tupi,Santos,Mar,NA,1463.1179677419354,2023-07-01
20,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1450.3439354838708,2023-07-01
21,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1449.1333225806452,2023-07-01
22,7-LL-102D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1425.4632258064514,2023-07-01
23,7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1403.4680322580648,2023-07-01
24,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1352.3460645161292,2023-07-01
25,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1348.048935483871,2023-07-01
26,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1346.7656774193547,2023-07-01
27,7-SLL-5-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1284.2726451612905,2023-07-01
28,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1276.7776451612904,2023-07-01
29,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1264.2662580645163,2023-07-01
30,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1257.0619677419356,2023-07-01
1,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,3137.1143,2023-06-01
2,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,2968.2230333333337,2023-06-01
3,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,2926.5467333333336,2023-06-01
4,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,2595.740466666667,2023-06-01
5,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,2313.7529333333337,2023-06-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2255.980533333334,2023-06-01
7,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,2153.5575999999996,2023-06-01
8,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1871.6767,2023-06-01
9,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1871.0538333333332,2023-06-01
10,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1832.1897333333334,2023-06-01
11,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1757.9067333333335,2023-06-01
12,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1709.6195,2023-06-01
13,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1621.3576333333333,2023-06-01
14,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1595.5615666666667,2023-06-01
15,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1572.5711000000001,2023-06-01
16,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1540.2418666666667,2023-06-01
17,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,1522.3106333333335,2023-06-01
18,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1473.5996333333335,2023-06-01
19,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1434.4207333333334,2023-06-01
20,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1396.4554666666666,2023-06-01
21,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1355.9098333333334,2023-06-01
22,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1338.2699333333333,2023-06-01
23,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1331.8629666666668,2023-06-01
24,7-LL-36A-RJS,Tupi,Santos,Mar,NA,1311.6149,2023-06-01
25,3-BRSA-883-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1288.5293333333332,2023-06-01
26,7-RO-111HP-RJS,Roncador,Campos,Mar,NA,1257.3731666666667,2023-06-01
27,7-SPH-14D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1252.7179333333336,2023-06-01
28,7-MXL-18HA-SPS,Mexilhão,Santos,Mar,NA,1252.4205333333334,2023-06-01
29,7-SPH-22-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,1239.1255666666668,2023-06-01
30,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,1191.6814000000002,2023-06-01
1,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,3100.6291935483873,2023-05-01
2,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,3080.799451612903,2023-05-01
3,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,3004.4002580645165,2023-05-01
4,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,2919.607290322581,2023-05-01
5,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1865.8986129032257,2023-05-01
6,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1808.4369677419356,2023-05-01
7,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,1805.8851612903227,2023-05-01
8,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1774.8893548387098,2023-05-01
9,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1764.7413870967744,2023-05-01
10,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,1743.4546129032256,2023-05-01
11,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,1720.212935483871,2023-05-01
12,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,1601.0060322580644,2023-05-01
13,9-LL-20D-RJS,Tupi,Santos,Mar,NA,1593.4471290322583,2023-05-01
