Mês/Ano,Consumo Interno,Queima,Disponível,Injeção,Produção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2021-11-01T00:00:00Z,13646.7815813333,3790.04156,61730.0170813333,57418.116879,136584.957101667,0.9722513983939002,NA,NA
2021-12-01T00:00:00Z,13746.5976019355,3328.63313645161,54464.9401083871,60698.3810787097,132238.551925484,0.9748285723944755,NA,NA
2020-11-01T00:00:00Z,13440.4387893333,3137.50133133333,54726.8121173333,55093.0901573333,126397.842395333,0.9751775720860806,NA,NA
2020-12-01T00:00:00Z,13422.2090387097,3049.2001683871,57709.4478958065,52781.2852222581,126962.142325161,0.9759833906978551,NA,NA
2021-01-01T00:00:00Z,14020.8946674194,2901.02677645161,61192.2947796774,57814.8649583871,135929.081181935,0.9786577916129059,NA,NA
2021-02-01T00:00:00Z,13449.4346485714,3474.71353892857,55066.1804632143,59096.4550625,131086.783713214,0.9734930292703639,NA,NA
2021-03-01T00:00:00Z,13425.7124680645,3173.1420583871,50177.1670987097,59310.2861358065,126086.307760968,0.9748335714263052,NA,NA
2021-04-01T00:00:00Z,14028.246744,2888.51564533333,53494.3779263333,61020.9522723333,131432.092588,0.9780227523700166,NA,NA
2021-05-01T00:00:00Z,13734.234896129,2947.80969322581,57898.3718403226,59973.6897080645,134554.106137742,0.9780920123670679,NA,NA
2021-06-01T00:00:00Z,13370.2221076667,3128.23898533333,58908.83781,60342.7309086667,135750.029811667,0.9769558873049711,NA,NA
2021-07-01T00:00:00Z,14040.0394454839,3515.85513258065,56086.6209896774,65535.505996129,139178.021563871,0.9747384314486234,NA,NA
2021-08-01T00:00:00Z,13698.3213290323,3103.05962290322,55322.2951980645,64472.0498470968,136595.725997097,0.9772828937343958,NA,NA
2021-09-01T00:00:00Z,13569.296287,3984.311693,48795.511545,67034.1037323333,133383.223257333,0.9701288393270204,NA,NA
2021-10-01T00:00:00Z,12929.9311535484,4344.12285,57084.0500464516,57346.0510422581,131704.155092258,0.9670160531612926,NA,NA
2021-11-01T00:00:00Z,13646.7815813333,3790.04156,61730.0170813333,57418.116879,136584.957101667,0.9722513983939002,NA,NA
2020-02-01T00:00:00Z,14164.8185765517,3643.98927172414,61364.6023406897,49761.8247144828,128935.234903448,NA,NA,NA
2020-03-01T00:00:00Z,14380.2607874194,3398.06569806452,47931.5138329032,56039.4987848387,121749.339103226,NA,NA,NA
2020-04-01T00:00:00Z,14339.3594793333,2723.61300633333,50600.745385,56342.5375276667,124006.255398333,NA,NA,NA
2020-05-01T00:00:00Z,13732.7906909677,2781.88638774194,48677.4397454839,49175.0154203226,114367.132244516,NA,NA,NA
2020-06-01T00:00:00Z,14313.705327,3132.15556133333,56333.699794,54692.990321,128472.551003333,NA,NA,NA
2020-07-01T00:00:00Z,14152.5161970968,4000.69753677419,54925.6339103226,57253.4068822581,130332.254526452,NA,NA,NA
2020-08-01T00:00:00Z,14287.8966445161,3994.94615258065,55647.2020303226,59586.1205987097,133516.165426129,NA,NA,NA
2020-09-01T00:00:00Z,13771.1313226667,3476.457861,52985.329191,55023.0208736667,125255.939248333,NA,NA,NA
2020-10-01T00:00:00Z,14174.27813,3025.99095193548,54733.0760364516,58117.4644916129,130050.80961,NA,NA,NA
2020-11-01T00:00:00Z,13440.4387893333,3137.50133133333,54726.8121173333,55093.0901573333,126397.842395333,NA,NA,NA
2020-12-01T00:00:00Z,13422.2090387097,3049.2001683871,57709.4478958065,52781.2852222581,126962.142325161,NA,NA,NA
2021-01-01T00:00:00Z,14020.8946674194,2901.02677645161,61192.2947796774,57814.8649583871,135929.081181935,NA,NA,NA
2021-02-01T00:00:00Z,13449.4346485714,3474.68617428571,55066.1804632143,59096.4550625,131086.756348571,NA,NA,NA
2021-04-01T00:00:00Z,14028.246744,2888.51564533333,53494.3779263333,61020.9522723333,131432.092588,0.9780227523700166,NA,NA
2021-05-01T00:00:00Z,13734.234896129,2947.80969322581,57898.3718403226,59973.6897080645,134554.106137742,0.9780920123670679,NA,NA
2021-06-01T00:00:00Z,13370.2221076667,3128.23898533333,58908.83781,60342.7309086667,135750.029811667,0.9769558873049711,NA,NA
2021-07-01T00:00:00Z,14040.0394454839,3515.85513258065,56086.6209896774,65535.505996129,139178.021563871,0.9747384314486234,NA,NA
2021-08-01T00:00:00Z,13698.3213290323,3103.05962290322,55322.2951980645,64472.0498470968,136595.725997097,0.9772828937343958,NA,NA
2021-09-01T00:00:00Z,13569.296287,3984.311693,48795.511545,67034.1037323333,133383.223257333,0.9701288393270204,NA,NA
2021-10-01T00:00:00Z,12929.9311535484,4344.12285,57084.0500464516,57346.0510422581,131704.155092258,0.9670160531612926,NA,NA
2021-11-01T00:00:00Z,13646.7815813333,3790.04156,61730.0170813333,57418.116879,136584.957101667,0.9722513983939002,NA,NA
2021-12-01T00:00:00Z,13746.5976019355,3328.63313645161,54464.9401083871,60698.3810787097,132238.551925484,0.9748285723944755,NA,NA
2022-01-01T00:00:00Z,15115.4380090323,3231.47607903226,50611.7490380645,68472.6525819355,137431.315708065,0.9764866103305226,NA,NA
2022-02-01T00:00:00Z,14240.7135775,3037.98201964286,49992.4449607143,65949.0849685714,133220.225526428,0.9771957898461926,NA,NA
2022-03-01T00:00:00Z,14118.608193871,2977.42082322581,51736.2172796774,65610.6138096774,134442.860106452,0.9778536337231396,NA,NA
2022-04-01T00:00:00Z,14167.1161163333,2759.560566,52248.8540343333,67616.7367463333,136792.267463,0.9798266333530402,NA,NA
2021-02-01T00:00:00Z,13449.4346485714,3474.71353892857,55066.1804632143,59096.4550625,131086.783713214,0.9734930292703639,NA,NA
2021-03-01T00:00:00Z,13425.7124680645,3173.1420583871,50177.1670987097,59310.2861358065,126086.307760968,0.9748335714263052,NA,NA
2021-04-01T00:00:00Z,14028.246744,2888.51564533333,53494.3779263333,61020.9522723333,131432.092588,0.9780227523700166,NA,NA
2021-05-01T00:00:00Z,13734.234896129,2947.80969322581,57898.3718403226,59973.6897080645,134554.106137742,0.9780920123670679,NA,NA
2021-06-01T00:00:00Z,13370.2221076667,3128.23898533333,58908.83781,60342.7309086667,135750.029811667,0.9769558873049711,NA,NA
2021-07-01T00:00:00Z,14040.0394454839,3515.85513258065,56086.6209896774,65535.505996129,139178.021563871,0.9747384314486234,NA,NA
2021-08-01T00:00:00Z,13698.3213290323,3103.05962290322,55322.2951980645,64472.0498470968,136595.725997097,0.9772828937343958,NA,NA
2021-09-01T00:00:00Z,13569.296287,3984.311693,48795.511545,67034.1037323333,133383.223257333,0.9701288393270204,NA,NA
2021-10-01T00:00:00Z,12929.9311535484,4344.12285,57084.0500464516,57346.0510422581,131704.155092258,0.9670160531612926,NA,NA
2021-11-01T00:00:00Z,13646.7815813333,3790.04156,61730.0170813333,57418.116879,136584.957101667,0.9722513983939002,NA,NA
2021-12-01T00:00:00Z,13746.5976019355,3328.63313645161,54464.9401083871,60698.3810787097,132238.551925484,0.9748285723944755,NA,NA
