Nº,Poço,Campo,Bacia,Localização,Operador,Produção (boe/d),mes
25,3-BRSA-1184-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33893.33540350353,2022-10-01
26,3-BRSA-1172-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu / Peo-1Brsa1146Rjs_Iara_Entorno_Cco,Santos,Mar,NA,33117.77269853837,2022-10-01
27,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,32942.24972328375,2022-10-01
28,9-BRSA-1284-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,32563.425922553837,2022-10-01
29,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,32127.27065990468,2022-10-01
30,8-LL-87D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,31531.49448196059,2022-10-01
1,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,65011.3403022006,2022-09-01
2,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,60161.21929370287,2022-09-01
3,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,59893.59127470027,2022-09-01
4,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58374.669276166176,2022-09-01
5,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,56057.766297344155,2022-09-01
6,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,54507.58308140609,2022-09-01
7,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,51171.81846399511,2022-09-01
8,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,49387.11495226993,2022-09-01
9,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,48949.975287418914,2022-09-01
10,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,48251.86710553446,2022-09-01
11,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,46017.533890528895,2022-09-01
12,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,42577.06836414334,2022-09-01
13,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,40502.149964267104,2022-09-01
14,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,39966.571055638386,2022-09-01
15,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,39749.73079726328,2022-09-01
16,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,39080.63719022512,2022-09-01
17,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,38408.63850654566,2022-09-01
18,9-BUZ-7-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,38324.07374289002,2022-09-01
19,7-SPH-20D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,37577.80760977453,2022-09-01
20,9-BRSA-1284-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,35385.7271620747,2022-09-01
21,7-LL-15D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,35149.32557573016,2022-09-01
22,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,34181.77937718544,2022-09-01
23,9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33755.641571234795,2022-09-01
24,3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33636.00312038403,2022-09-01
25,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,33619.68075523334,2022-09-01
26,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,33481.14466877794,2022-09-01
27,7-LL-83D-RJS,Tupi,Santos,Mar,NA,32937.5814019541,2022-09-01
28,7-SLL-2-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,31281.061676945683,2022-09-01
29,8-LL-87D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,31160.26263245032,2022-09-01
30,3-BRSA-1184-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,30836.560437340093,2022-09-01
1,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,68946.72660656899,2023-04-01
2,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,64771.290330435,2023-04-01
3,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,61140.72163483134,2023-04-01
4,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,60619.67000054534,2023-04-01
5,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,59504.93661862067,2023-04-01
6,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,58387.91039129067,2023-04-01
7,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,57095.536421460005,2023-04-01
8,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,56862.239401467334,2023-04-01
9,1-BRSA-1116-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,56162.74166427467,2023-04-01
10,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,55072.999584423,2023-04-01
11,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,51883.28954220867,2023-04-01
12,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,51384.58119998567,2023-04-01
13,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,50234.51460072567,2023-04-01
14,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,45087.33412864167,2023-04-01
15,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,44646.49665094599,2023-04-01
16,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,43462.672851076335,2023-04-01
17,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,43340.22555558067,2023-04-01
18,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,39742.70855356501,2023-04-01
19,9-LL-20D-RJS,Tupi,Santos,Mar,NA,39096.569580866,2023-04-01
20,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,37545.56344602301,2023-04-01
21,3-BRSA-1172-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu / Peo-1Brsa1146Rjs_Iara_Entorno_Cco,Santos,Mar,NA,37068.59331614101,2023-04-01
22,9-BRSA-1284-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,35941.03731789,2023-04-01
23,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,34404.82817073233,2023-04-01
24,7-SPH-20D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,33789.27046391367,2023-04-01
25,9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33641.12342407867,2023-04-01
26,3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33602.04147998333,2023-04-01
27,7-OATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,33305.710080774,2023-04-01
28,3-BRSA-1184-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33150.62831575367,2023-04-01
29,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,32168.086193316332,2023-04-01
30,7-LL-15D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,31824.49840327533,2023-04-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,67696.86184419677,2023-12-01
2,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,66424.16626861742,2023-12-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,64871.085977623225,2023-12-01
4,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,64487.23916303291,2023-12-01
5,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,63237.38959765323,2023-12-01
6,7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,61381.251855165174,2023-12-01
7,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,60921.166253564836,2023-12-01
8,7-BUZ-50D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,60618.06416470968,2023-12-01
9,7-BUZ-45DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,60477.599113304204,2023-12-01
10,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,59972.41800876904,2023-12-01
11,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,59283.72926271871,2023-12-01
12,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58289.66476294678,2023-12-01
13,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,57004.06533780678,2023-12-01
14,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,56749.74600082614,2023-12-01
15,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,55968.172587049354,2023-12-01
16,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,52896.614075944846,2023-12-01
17,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,48935.842806459674,2023-12-01
18,9-ITP-1-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,48808.35748812903,2023-12-01
19,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,48302.72432886226,2023-12-01
20,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,46059.63889545388,2023-12-01
21,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,43849.51571859323,2023-12-01
22,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,42223.80009302775,2023-12-01
23,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,40692.32529938355,2023-12-01
24,7-ITP-5D-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,39281.49372817258,2023-12-01
25,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,38766.45750585291,2023-12-01
26,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,38576.77205353517,2023-12-01
27,9-LL-20D-RJS,Tupi,Santos,Mar,NA,38283.978557475806,2023-12-01
28,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,37633.72501426162,2023-12-01
29,9-BUZ-7-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,36063.6762361671,2023-12-01
30,7-ITP-3A-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,33734.88199665387,2023-12-01
NA,NA,NA,NA,NA,NA,NA,2023-12-01
1,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,70469.31299868965,2023-02-01
2,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,64978.774089993574,2023-02-01
3,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,64470.142763805714,2023-02-01
4,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,63058.15589652571,2023-02-01
5,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,62933.56464441287,2023-02-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,62309.570789834645,2023-02-01
7,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,61579.98158325179,2023-02-01
8,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,59706.71734754928,2023-02-01
9,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,59135.20679079143,2023-02-01
10,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58783.34021804678,2023-02-01
11,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,56049.78160369249,2023-02-01
12,1-BRSA-1116-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,54973.432026904644,2023-02-01
13,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,53793.21904222286,2023-02-01
14,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,53480.621775032865,2023-02-01
15,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,53321.28359075536,2023-02-01
16,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,53261.90463945036,2023-02-01
17,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,52169.398113225005,2023-02-01
18,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,49487.67539553322,2023-02-01
19,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,47371.80532586822,2023-02-01
20,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,47240.086595845,2023-02-01
21,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,40929.83561188929,2023-02-01
22,9-BRSA-1191-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,39742.50593182857,2023-02-01
23,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,37701.74765000321,2023-02-01
24,3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,35710.86127166786,2023-02-01
25,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,35428.451722936785,2023-02-01
26,7-SPH-20D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,35376.14611224893,2023-02-01
27,7-OATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,34916.087843786074,2023-02-01
28,9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34663.36979243214,2023-02-01
29,7-BUZ-17-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33843.3746757225,2023-02-01
30,7-LL-15D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,33219.80470941107,2023-02-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,70525.18082298129,2023-01-01
2,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,68644.81310919646,2023-01-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,68022.13328143387,2023-01-01
4,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,64191.02705379001,2023-01-01
5,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,60296.40531028065,2023-01-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,59276.15105615419,2023-01-01
7,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,58699.69443339032,2023-01-01
8,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58098.1572947,2023-01-01
9,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,56387.430423248385,2023-01-01
10,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,56243.40006405839,2023-01-01
11,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,55958.24889004613,2023-01-01
12,1-BRSA-1116-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,54669.06934563355,2023-01-01
13,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,53440.68669888678,2023-01-01
14,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,53044.72794210452,2023-01-01
15,7-BUZ-31D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,52787.5451183971,2023-01-01
16,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,51322.801556705155,2023-01-01
17,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,50145.105039497736,2023-01-01
18,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,47146.91959680839,2023-01-01
19,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,40808.79513143323,2023-01-01
20,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,40359.720146583546,2023-01-01
21,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,38714.84129602193,2023-01-01
22,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,38486.32133938161,2023-01-01
23,9-BRSA-1191-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,36060.74518470709,2023-01-01
24,3-BRSA-1064-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,35314.94171750323,2023-01-01
25,7-OATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,35212.94453536645,2023-01-01
26,9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34397.75472480194,2023-01-01
27,7-BUZ-17-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34240.05721717323,2023-01-01
28,7-LL-15D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,33948.73249319742,2023-01-01
29,7-LL-27-RJS,Tupi,Santos,Mar,NA,32175.789255990967,2023-01-01
30,7-LL-119D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,32003.083044319676,2023-01-01
1,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,69590.70983819419,2023-07-01
2,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,68881.4899349213,2023-07-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,65556.63063026193,2023-07-01
4,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,64405.05447660193,2023-07-01
5,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,59169.064200344845,2023-07-01
6,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,59017.07743440194,2023-07-01
7,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58749.799262747416,2023-07-01
8,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,57737.28046043549,2023-07-01
9,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,56348.340674378065,2023-07-01
10,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,54770.62969032097,2023-07-01
11,1-BRSA-1116-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,54705.384070911285,2023-07-01
12,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,54215.970505560654,2023-07-01
13,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,51096.0330078042,2023-07-01
14,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,49586.00585756871,2023-07-01
15,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,48121.98420374709,2023-07-01
16,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,46954.23796306258,2023-07-01
17,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,46471.719043957426,2023-07-01
18,7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,46466.24143103581,2023-07-01
19,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,46355.047735090644,2023-07-01
20,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,45223.102484234834,2023-07-01
21,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,44602.18218009549,2023-07-01
22,7-ITP-3A-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,44284.802425437425,2023-07-01
23,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,39938.10383453162,2023-07-01
24,7-LL-27-RJS,Tupi,Santos,Mar,NA,38916.5386622629,2023-07-01
25,9-LL-2-RJS,Tupi,Santos,Mar,NA,38489.13673949645,2023-07-01
26,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,37567.97823902291,2023-07-01
27,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,36371.75376762936,2023-07-01
28,7-BUZ-17-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34633.99390148903,2023-07-01
29,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,34070.42063567903,2023-07-01
30,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,33837.70030334129,2023-07-01
1,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,69102.63548160435,2023-06-01
2,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,64953.71683477,2023-06-01
3,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,63609.80940330768,2023-06-01
4,7-BUZ-10-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,60857.53740614433,2023-06-01
5,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,59371.68762275166,2023-06-01
6,7-BUZ-23-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58898.11294196799,2023-06-01
7,7-BUZ-25-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58324.069029451,2023-06-01
8,7-BUZ-18-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,57276.65632259766,2023-06-01
9,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,55996.984414401675,2023-06-01
10,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,55558.44062075267,2023-06-01
11,3-BRSA-1201-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,55368.923194284005,2023-06-01
12,1-BRSA-1116-RJS,Itapu / Itapu_Eco,Santos,Mar,NA,53685.250709638334,2023-06-01
13,7-BUZ-24D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,53499.61724084467,2023-06-01
14,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,53198.97795076634,2023-06-01
15,7-BUZ-12-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,52157.82821739034,2023-06-01
16,7-MRO-6DB-RJS,Anc_Mero / Mero,Santos,Mar,NA,50725.06820428367,2023-06-01
17,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,48378.317659628,2023-06-01
18,9-BUZ-3-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,47548.67368983934,2023-06-01
19,1-BRSA-976-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,46550.150208493666,2023-06-01
20,7-BUZ-14DA-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,45423.118361076,2023-06-01
21,7-BUZ-30-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,45078.521685511,2023-06-01
22,7-TUP-121DA-RJS,Tupi,Santos,Mar,NA,40930.37081481734,2023-06-01
23,7-SEP-6-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,39957.91754762,2023-06-01
24,9-LL-20D-RJS,Tupi,Santos,Mar,NA,38562.63956060501,2023-06-01
25,7-BUZ-29D-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,36068.832209847664,2023-06-01
26,7-BUZ-17-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34782.44194593033,2023-06-01
27,7-SPH-20D-SPS,Nordeste De Sapinhoá / Noroeste De Sapinhoá / Sapinhoá / Sudoeste De Sapinhoá,Santos,Mar,NA,34310.39925320233,2023-06-01
28,9-BUZ-1-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,34045.179350856335,2023-06-01
29,7-BUZ-33-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,33913.736578759,2023-06-01
30,9-LL-12D-RJS,Anc_Tupi / Sul De Tupi / Tupi,Santos,Mar,NA,33896.72473931233,2023-06-01
1,7-MRO-3-RJS,Anc_Mero / Mero,Santos,Mar,NA,68865.44625278807,2023-05-01
2,7-MRO-7A-RJS,Anc_Mero / Mero,Santos,Mar,NA,67501.65231552225,2023-05-01
3,7-MRO-10B-RJS,Anc_Mero / Mero,Santos,Mar,NA,64267.28430443581,2023-05-01
4,3-BRSA-1322-RJS,Anc_Mero / Mero,Santos,Mar,NA,64046.741247155165,2023-05-01
5,7-ATP-6-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,63046.45287893968,2023-05-01
6,9-BRSA-1254-RJS,Sépia / Sépia Leste / Sépia_Eco,Santos,Mar,NA,58517.09191582387,2023-05-01
7,9-BUZ-4-RJS,Búzios / Búzios_Eco / Tambuatá,Santos,Mar,NA,58172.01609876484,2023-05-01
8,9-ATP-1-RJS,Atapu / Atapu_Eco / Anc_Norte_Atapu / Oeste De Atapu,Santos,Mar,NA,57477.70527706,2023-05-01
