Período,Consumo Interno,Queima,Disponível,Injeção,Aproveitamento,Injeção descontando CO2,Produção descontando CO2
2021-08-01,13698.3213290323,3101.73136225806,55322.2951980645,64472.0498470968,0.97729239695289,NA,NA
2021-08-01,13698.3213290323,3103.05962290322,55322.2951980645,64472.0498470968,0.9772828937343958,NA,NA
2021-09-01,13567.866669,3985.74035733333,48785.1749253333,67034.1037323333,0.9701158122440507,NA,NA
2021-09-01,13569.296287,3984.311693,48795.511545,67034.1037323333,0.9701288393270204,NA,NA
2021-10-01,12929.9311535484,4343.22733709677,57084.0500464516,57346.0510422581,0.9670226283619048,NA,NA
2021-10-01,12929.9311535484,4344.12285,57084.0500464516,57346.0510422581,0.9670160531612926,NA,NA
2021-11-01,13646.7815813333,3790.04156,61730.0170813333,57418.116879,0.9722513983939002,NA,NA
2021-12-01,13746.5976019355,3328.63313645161,54464.9401083871,60698.3810787097,0.9748285723944755,NA,NA
2021-02-01,13449.4346485714,3474.68617428571,55066.1804632143,59096.4550625,NA,NA,NA
2022-01-01,15115.4380090323,3231.47607903226,50611.7490380645,68472.6525819355,0.9764866103305226,NA,NA
2022-02-01,14240.7135775,3037.98201964286,49992.4449607143,65949.0849685714,0.9771957898461926,NA,NA
2022-03-01,14118.608193871,2977.42082322581,51736.2172796774,65610.6138096774,0.9778536337231396,NA,NA
2022-04-01,14167.1161163333,2759.560566,52248.8540343333,67616.7367463333,0.9798266333530402,NA,NA
2022-03-01,14119.2475680645,2978.1010716129,51734.3976570968,65610.6138096774,0.977848491582153,NA,NA
2022-04-01,14167.1161163333,2759.560566,52357.9622716667,67616.7367463333,0.9798427112081022,NA,NA
2022-05-01,13351.2768045161,4565.30326870968,46298.1232880645,67498.3763212903,0.965339028745572,NA,NA
2022-06-01,12564.448073,4353.17149233333,53547.1181176667,62438.109102,0.967245460893885,NA,NA
2022-03-01,14118.608193871,2976.84425548387,51736.2172796774,65610.6138096774,0.9778578273357944,NA,NA
2021-08-01,14408.252351290323,3103.0596229032253,55354.353990322605,64472.04984709675,0.9774056266731588,NA,NA
2021-09-01,14275.037690999987,3984.3116929999983,48800.696522666694,67034.10373233331,0.970287207132255,NA,NA
2021-10-01,13679.718219677421,4344.122849999999,57084.06500225808,57346.05104225808,0.9672027703464172,NA,NA
2021-11-01,14226.310414666668,3790.0415599999997,61736.18647166666,57418.11687900001,0.9723698807809075,NA,NA
2021-12-01,14312.207029677427,3328.633136451611,54464.97582451614,60698.381078709695,0.9749357835828539,NA,NA
2022-01-01,15411.768838709673,3231.4760790322557,50618.22759741936,68472.65258193549,0.9765383046739201,NA,NA
2022-02-01,14783.332347499994,3037.982019642856,49992.995913214276,65949.08496857143,0.9772883903403521,NA,NA
2022-03-01,14660.883168387092,2978.101071612903,51735.22448483874,65610.61380967741,0.977937511672089,NA,NA
2022-04-01,14776.84154133334,2759.5605659999997,52358.60239099999,67616.73674633332,0.9799321822193344,NA,NA
2022-05-01,13916.303549354838,4565.303268709682,46298.99281032254,67498.37632129034,0.9654873101644932,NA,NA
