...1,Período,produto
Gás Total,2022-12-01,140.14330387838706
Gás Total,2023-01-01,143.24332490322573
Gás Total,2023-02-01,146.53950667857143
Gás Total,2023-03-01,138.5307802903226
Gás Total,2023-04-01,141.60123133333332
Gás Total,2023-05-01,144.40972841935488
Gás Total,2023-06-01,152.25789156666667
Gás Total,2023-07-01,154.07585180645157
Gás Total,2023-08-01,147.85994329032258
Gás Total,2023-09-01,157.98884510000016
Gás Total,2023-10-01,152.50534287096772
Gás Total,2023-11-01,162.12310389999996
Gás Total,2023-12-01,156.61812600000002
GASN,2022-08-01,18.83346219451613
GASN,2022-09-01,18.705572988666667
GASN,2022-10-01,17.692116777096775
Total,2023-05-01,144.40972841935488
Total,2023-06-01,152.25789156666667
Total,2023-07-01,154.07585180645157
GASA,2023-06-01,132.30878186666666
GASN,2022-06-01,20.801880058666658
Total,2023-06-01,152.25788843333333
Total,2023-02-01,146.53950667857143
Total,2023-08-01,147.85994329032258
Total,2023-09-01,157.98884510000016
Total,2023-10-01,152.50534287096772
Total,2023-11-01,162.12310389999996
GASA,2023-09-01,143.89448646666682
GASN,2023-09-01,14.09435863333333
Gás Total,2022-09-01,143.07031172700002
Gás Total,2022-10-01,148.7508208603226
Gás Total,2022-11-01,140.38001920599993
Gás Total,2022-08-01,139.96282502967748
GASA,NA,126
GASA,NA,130
GASA,NA,132
GASA,NA,137
GASA,NA,132
GASA,NA,144
GASA,NA,137
GASA,NA,145
GASA,NA,141
GASA,NA,135
GASA,NA,134
GASA,NA,135
GASA,NA,127
GASN,NA,16
GASN,NA,15
GASN,NA,20
GASN,NA,17
GASN,NA,16
GASN,NA,14
GASN,NA,16
GASN,NA,18
GASN,NA,16
GASN,NA,19
GASN,NA,15
GASN,NA,9
GASN,NA,10
Total,NA,142
Total,NA,144
Total,NA,152
Total,NA,154
Total,NA,148
Total,NA,158
Total,NA,153
Total,NA,162
Total,NA,157
Total,NA,154
Total,NA,149
Total,NA,144
Total,NA,137
GASA,2023-04-01,125.75211116666665
GASA,2023-05-01,129.75063083870972
GASA,2023-08-01,131.71275283870966
GASA,2023-09-01,143.92372423333347
GASA,2023-10-01,136.79443390322578
GASA,2023-11-01,144.50906639999997
GASA,2023-12-01,140.92846712903224
GASA,2024-01-01,135.41180851612907
GASN,2023-01-01,15.646641870967741
GASN,2024-01-01,18.515622258064518
Gás Total,2023-01-01,143.12171432258057
Gás Total,2023-04-01,141.60120306666664
Gás Total,2023-05-01,144.40971741935488
Gás Total,2023-08-01,147.8599201612903
Gás Total,2023-09-01,157.98882860000015
Gás Total,2023-10-01,152.5053159032258
Gás Total,2023-11-01,162.12307079999997
Gás Total,2023-12-01,156.62976119354838
Gás Total,2024-01-01,153.92743077419357
GASA,NA,129.750641838709
GASA,NA,132.308785
GASA,NA,137.026858709677
GASA,NA,131.712752838709
GASA,NA,143.923724233333
GASA,NA,136.794433903225
GASA,NA,144.509066399999
GASA,NA,140.928467129032
GASA,NA,135.411857064516
GASA,NA,134.027205551724
GASA,NA,134.916486903225
GASA,NA,126.662265433333
GASA,NA,134.433713741935
GASN,NA,14.6590865806451
GASN,NA,19.9491065666666
GASN,NA,17.0489930967742
GASN,NA,16.1471673225806
GASN,NA,14.0651043666666
GASN,NA,15.710882
GASN,NA,17.6140044
GASN,NA,15.7012940645161
GASN,NA,18.5156222580645
GASN,NA,14.6074492068965
GASN,NA,9.06581474193548
GASN,NA,10.0138722666666
GASN,NA,11.1969463225806
Gás Total,NA,144.40972841935408
Gás Total,NA,152.25789156666661
Gás Total,NA,154.0758518064512
Gás Total,NA,147.8599201612896
Gás Total,NA,157.98882859999958
Gás Total,NA,152.505315903225
Gás Total,NA,162.123070799999
Gás Total,NA,156.6297611935481
Gás Total,NA,153.9274793225805
Gás Total,NA,148.63465475862048
Gás Total,NA,143.98230164516048
Gás Total,NA,136.6761376999996
Gás Total,NA,145.6306600645156
GASA,2023-12-01,140.92849748387098
GASA,2024-01-01,135.41186538709684
GASA,2024-02-01,134.02720555172417
GASA,2024-03-01,134.91648690322583
GASN,2024-02-01,14.607449206896552
GASN,2024-03-01,9.06581474193548
Total,2023-12-01,156.62979154838712
Total,2024-01-01,153.92748764516134
Total,2024-02-01,148.6346547586207
Total,2024-03-01,143.98230164516133
