...1,mes,volume
Petróleo,2023-05-01,3201.2884769733182
Óleo,2023-08-01,3455.0146513929408
Petróleo,2023-08-01,3462.0417825441168
Óleo,2023-09-01,3665.013251053002
Petróleo,2023-09-01,3672.2384325356843
Óleo,2023-10-01,3535.9097670938982
Petróleo,2023-10-01,3543.2244251411921
Óleo,2023-11-01,3671.1216054856686
Petróleo,2023-11-01,3678.2927855949351
Óleo,2023-12-01,3578.4112046756468
Petróleo,2023-12-01,3585.1319080516546
Óleo,2024-01-01,3511.4682285016088
Condensado,2024-01-01,7.6388251156338711
Petróleo,2024-01-01,3519.1070536172429
