"";"...1";"mes";"volume"
"299";"GASN";2022-12-01;"18.002114776774199"
"300";"Total";2022-12-01;"140.14330387838706"
"301";"GASA";2021-07-01;"117.62159202451613"
"302";"GASN";2021-07-01;"21.556429528064516"
"303";"Gás Total";2021-07-01;"139.17802155258065"
"304";"Gás Total";2021-08-01;"136.59572598451618"
"305";"Gás Total";2021-09-01;"133.38322324433338"
"306";"Gás Total";2021-10-01;"131.70415508032252"
"307";"Gás Total";2021-11-01;"136.58495709066659"
"308";"Gás Total";2022-01-01;"137.43131569741931"
"309";"Gás Total";2022-02-01;"133.22022551892866"
"310";"Gás Total";2022-03-01;"134.44236010032262"
"311";"Gás Total";2022-04-01;"136.90134195433333"
"312";"Gás Total";2022-05-01;"131.71307967580651"
"313";"Gás Total";2022-06-01;"132.90296858466661"
"314";"Gás Total";2022-07-01;"135.6297075232259"
"315";"GASA";2023-01-01;"127.47507245161285"
"316";"GASN";2023-01-01;"15.768252451612902"
"317";"Total";2023-01-01;"143.24332490322573"
"318";"GASA";2023-02-01;"132.74995878571428"
"319";"GASN";2023-02-01;"13.789541821428566"
"320";"Total";2023-02-01;"146.53950060714286"
"321";"GASA";2023-03-01;"124.52973654838712"
"322";"GASN";2023-03-01;"14.001043741935485"
"323";"Total";2023-03-01;"138.53078029032261"
"324";"GASA";2023-04-01;"125.75213943333333"
"325";"GASN";2023-04-01;"15.849091899999998"
"326";"Total";2023-04-01;"141.60123133333332"
"327";"Gás Total";2022-12-01;"140.14330387838706"
"328";"Gás Total";2023-01-01;"143.24332490322573"
"329";"GASA";2023-02-01;"132.74996485714286"
"330";"Gás Total";2023-02-01;"146.53950667857143"
"331";"Gás Total";2023-03-01;"138.53078029032261"
"332";"Gás Total";2023-04-01;"141.60123133333332"
"333";"GASA";2023-05-01;"129.75064183870973"
"334";"GASN";2023-05-01;"14.659086580645159"
"335";"Gás Total";2023-05-01;"144.40972841935488"
"336";"GASA";2023-06-01;"132.308785"
"337";"GASN";2023-06-01;"19.949106566666671"
"338";"Gás Total";2023-06-01;"152.25789156666667"
"339";"GASA";2023-07-01;"137.02685870967736"
"340";"GASN";2023-07-01;"17.0489930967742"
"341";"Gás Total";2023-07-01;"154.07585180645157"
"342";"GASA";2023-08-01;"131.71277596774195"
"343";"GASN";2023-08-01;"16.147167322580646"
"344";"Gás Total";2023-08-01;"147.85994329032258"
"345";"GASA";2023-09-01;"143.92374073333349"
"346";"GASN";2023-09-01;"14.065104366666663"
"347";"Gás Total";2023-09-01;"157.98884510000016"
"348";"GASA";2023-10-01;"136.79446087096775"
"349";"GASN";2023-10-01;"15.710882"
"350";"Gás Total";2023-10-01;"152.50534287096772"
"351";"GASA";2023-11-01;"144.50909949999996"
"352";"GASN";2023-11-01;"17.614004399999999"
"353";"Gás Total";2023-11-01;"162.12310389999996"
"354";"GASA";2023-12-01;"140.91683193548388"
"355";"GASN";2023-12-01;"15.701294064516134"
"356";"Gás Total";2023-12-01;"156.61812600000002"
"357";"GASN";2022-08-01;"18.83346219451613"
"358";"GASN";2022-09-01;"18.705572988666667"
"359";"GASN";2022-10-01;"17.692116777096775"
"360";"Total";2023-05-01;"144.40972841935488"
"361";"Total";2023-06-01;"152.25789156666667"
"362";"Total";2023-07-01;"154.07585180645157"
"363";"GASN";2022-06-01;"20.801880058666658"
"364";"GASA";2023-06-01;"132.30878186666666"
"365";"Total";2023-06-01;"152.25788843333333"
"366";"Total";2023-02-01;"146.53950667857143"
"367";"Total";2023-08-01;"147.85994329032258"
"368";"Total";2023-09-01;"157.98884510000016"
"369";"Total";2023-10-01;"152.50534287096772"
"370";"Total";2023-11-01;"162.12310389999996"
"371";"Gás Total";2022-09-01;"143.07031172700002"
"372";"Gás Total";2022-10-01;"148.75082086032259"
"373";"Gás Total";2022-11-01;"140.38001920599993"
"374";"GASA";2023-09-01;"143.89448646666682"
"375";"GASN";2023-09-01;"14.09435863333333"
"376";"Gás Total";2022-08-01;"139.96282502967748"
"377";"GASN";2023-01-01;"15.646641870967741"
"378";"Gás Total";2023-01-01;"143.12171432258057"
"379";"GASA";2023-04-01;"125.75211116666665"
"380";"Gás Total";2023-04-01;"141.60120306666664"
"381";"GASA";2023-05-01;"129.75063083870972"
"382";"Gás Total";2023-05-01;"144.40971741935488"
"383";"GASA";2023-08-01;"131.71275283870966"
"384";"Gás Total";2023-08-01;"147.85992016129029"
"385";"GASA";2023-09-01;"143.92372423333347"
"386";"Gás Total";2023-09-01;"157.98882860000015"
"387";"GASA";2023-10-01;"136.79443390322578"
"388";"Gás Total";2023-10-01;"152.50531590322581"
"389";"GASA";2023-11-01;"144.50906639999997"
"390";"Gás Total";2023-11-01;"162.12307079999997"
"391";"GASA";2023-12-01;"140.92846712903224"
"392";"Gás Total";2023-12-01;"156.62976119354838"
"393";"GASA";2024-01-01;"135.41180851612907"
"394";"GASN";2024-01-01;"18.515622258064518"
"395";"Gás Total";2024-01-01;"153.92743077419357"
"396";"GASA";2023-12-01;"140.92849748387098"
"397";"Total";2023-12-01;"156.62979154838712"
"398";"GASA";2024-01-01;"135.41186538709684"
"399";"Total";2024-01-01;"153.92748764516134"
"400";"GASA";2024-02-01;"134.02720555172417"
"401";"GASN";2024-02-01;"14.607449206896552"
"402";"Total";2024-02-01;"148.63465475862071"
"403";"GASA";2024-03-01;"134.91648690322583"
"404";"GASN";2024-03-01;"9.0658147419354798"
"405";"Total";2024-03-01;"143.98230164516133"
